43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pcnt,100,99,98,97,96,95,94,93,92,91,90,88,86,84,82,80,75,70,65,60,55,50,45,40,35,30,25,20,18,16,14,12,10,9,8,7,6,5,4,3,2,1,0
BS1_8730_8540,4.43E+00,9.47E-01,7.56E-01,6.59E-01,6.00E-01,5.64E-01,5.35E-01,5.08E-01,4.85E-01,4.64E-01,4.47E-01,4.19E-01,3.97E-01,3.77E-01,3.61E-01,3.47E-01,3.17E-01,2.92E-01,2.74E-01,2.57E-01,2.40E-01,2.23E-01,2.07E-01,1.92E-01,1.78E-01,1.66E-01,1.54E-01,1.42E-01,1.36E-01,1.31E-01,1.25E-01,1.19E-01,1.12E-01,1.09E-01,1.05E-01,1.01E-01,9.74E-02,9.34E-02,8.84E-02,8.21E-02,7.33E-02,5.99E-02,0.00E+00
BS2_8590_8440,2.66E+00,5.91E-01,4.86E-01,4.24E-01,3.84E-01,3.55E-01,3.33E-01,3.14E-01,2.99E-01,2.88E-01,2.78E-01,2.62E-01,2.50E-01,2.41E-01,2.31E-01,2.22E-01,2.01E-01,1.84E-01,1.70E-01,1.58E-01,1.46E-01,1.35E-01,1.24E-01,1.16E-01,1.07E-01,9.73E-02,8.80E-02,7.90E-02,7.54E-02,7.14E-02,6.74E-02,6.37E-02,5.96E-02,5.72E-02,5.46E-02,5.21E-02,4.95E-02,4.63E-02,4.30E-02,3.93E-02,3.49E-02,2.98E-02,8.14E-03
BS3_8350_8330,5.71E+00,1.04E+00,8.54E-01,7.49E-01,6.77E-01,6.26E-01,5.87E-01,5.59E-01,5.36E-01,5.16E-01,4.98E-01,4.71E-01,4.45E-01,4.22E-01,4.03E-01,3.86E-01,3.53E-01,3.27E-01,3.07E-01,2.88E-01,2.69E-01,2.49E-01,2.34E-01,2.17E-01,1.99E-01,1.79E-01,1.59E-01,1.40E-01,1.31E-01,1.20E-01,1.11E-01,1.01E-01,8.79E-02,8.06E-02,7.32E-02,6.43E-02,5.45E-02,4.35E-02,3.22E-02,2.62E-02,2.16E-02,1.40E-02,0.00E+00
BS3_8580_8440,4.50E+00,1.02E+00,8.11E-01,7.03E-01,6.31E-01,5.83E-01,5.48E-01,5.20E-01,4.97E-01,4.76E-01,4.57E-01,4.26E-01,4.02E-01,3.82E-01,3.64E-01,3.49E-01,3.18E-01,2.91E-01,2.70E-01,2.54E-01,2.37E-01,2.20E-01,2.03E-01,1.87E-01,1.72E-01,1.58E-01,1.44E-01,1.31E-01,1.26E-01,1.21E-01,1.15E-01,1.10E-01,1.05E-01,1.02E-01,9.93E-02,9.59E-02,9.23E-02,8.83E-02,8.37E-02,7.73E-02,6.97E-02,5.76E-02,1.34E-02
BS4_8440_8441,3.39E+00,7.92E-01,6.46E-01,5.61E-01,5.05E-01,4.66E-01,4.35E-01,4.10E-01,3.91E-01,3.76E-01,3.64E-01,3.43E-01,3.28E-01,3.16E-01,3.03E-01,2.90E-01,2.61E-01,2.38E-01,2.19E-01,2.04E-01,1.88E-01,1.74E-01,1.61E-01,1.49E-01,1.38E-01,1.25E-01,1.14E-01,1.03E-01,9.87E-02,9.42E-02,8.93E-02,8.44E-02,7.96E-02,7.71E-02,7.44E-02,7.14E-02,6.81E-02,6.44E-02,6.02E-02,5.53E-02,4.93E-02,4.15E-02,1.20E-02
BS4_8540_8441,6.76E-06,5.86E-06,2.52E-06,1.49E-06,9.64E-07,7.09E-07,5.82E-07,4.93E-07,4.33E-07,3.83E-07,3.41E-07,2.73E-07,2.27E-07,1.91E-07,1.62E-07,1.41E-07,1.01E-07,7.05E-08,5.09E-08,3.72E-08,2.58E-08,1.69E-08,1.08E-08,6.75E-09,4.40E-09,3.45E-09,3.13E-09,2.92E-09,2.80E-09,2.60E-09,2.32E-09,2.15E-09,2.05E-09,2.02E-09,2.00E-09,1.96E-09,1.92E-09,1.90E-09,1.88E-09,1.87E-09,1.85E-09,1.80E-09,1.67E-09
DE0_3791_0001,1.98E-01,1.21E-01,1.04E-01,9.50E-02,8.90E-02,8.49E-02,8.16E-02,7.89E-02,7.66E-02,7.45E-02,7.26E-02,6.97E-02,6.73E-02,6.52E-02,6.35E-02,6.17E-02,5.75E-02,5.39E-02,5.08E-02,4.81E-02,4.56E-02,4.31E-02,4.03E-02,3.75E-02,3.47E-02,3.21E-02,2.96E-02,2.72E-02,2.62E-02,2.53E-02,2.44E-02,2.35E-02,2.28E-02,2.23E-02,2.17E-02,2.11E-02,2.03E-02,1.94E-02,1.83E-02,1.70E-02,1.53E-02,1.28E-02,6.06E-03
DE0_4141_0001,2.15E-01,1.16E-01,9.94E-02,9.15E-02,8.67E-02,8.30E-02,8.01E-02,7.78E-02,7.59E-02,7.43E-02,7.28E-02,7.02E-02,6.79E-02,6.55E-02,6.34E-02,6.16E-02,5.78E-02,5.45E-02,5.17E-02,4.90E-02,4.62E-02,4.32E-02,4.04E-02,3.77E-02,3.52E-02,3.28E-02,3.05E-02,2.83E-02,2.74E-02,2.66E-02,2.58E-02,2.50E-02,2.39E-02,2.32E-02,2.26E-02,2.18E-02,2.10E-02,2.00E-02,1.88E-02,1.75E-02,1.57E-02,1.31E-02,6.25E-03
DE0_4231_0001,1.41E-01,7.10E-02,6.21E-02,5.74E-02,5.44E-02,5.24E-02,5.09E-02,4.96E-02,4.82E-02,4.69E-02,4.58E-02,4.38E-02,4.22E-02,4.09E-02,3.97E-02,3.87E-02,3.67E-02,3.48E-02,3.25E-02,3.03E-02,2.84E-02,2.67E-02,2.52E-02,2.38E-02,2.24E-02,2.11E-02,1.99E-02,1.87E-02,1.81E-02,1.73E-02,1.65E-02,1.57E-02,1.48E-02,1.44E-02,1.40E-02,1.35E-02,1.29E-02,1.23E-02,1.16E-02,1.08E-02,9.65E-03,8.00E-03,3.84E-03
EL0_4560_4562,1.37E-01,9.14E-02,7.92E-02,7.29E-02,6.91E-02,6.65E-02,6.44E-02,6.28E-02,6.14E-02,6.03E-02,5.93E-02,5.74E-02,5.58E-02,5.44E-02,5.31E-02,5.20E-02,4.96E-02,4.76E-02,4.60E-02,4.45E-02,4.30E-02,4.12E-02,3.92E-02,3.73E-02,3.55E-02,3.36E-02,3.16E-02,2.92E-02,2.80E-02,2.68E-02,2.55E-02,2.42E-02,2.28E-02,2.21E-02,2.14E-02,2.06E-02,1.98E-02,1.90E-02,1.81E-02,1.70E-02,1.56E-02,1.36E-02,8.55E-03
EL0_4561_4562,1.25E-01,8.16E-02,7.14E-02,6.63E-02,6.32E-02,6.07E-02,5.90E-02,5.76E-02,5.64E-02,5.54E-02,5.45E-02,5.30E-02,5.18E-02,5.06E-02,4.95E-02,4.86E-02,4.65E-02,4.49E-02,4.34E-02,4.22E-02,4.10E-02,3.94E-02,3.75E-02,3.56E-02,3.38E-02,3.19E-02,2.98E-02,2.76E-02,2.63E-02,2.50E-02,2.34E-02,2.18E-02,2.03E-02,1.97E-02,1.90E-02,1.84E-02,1.78E-02,1.70E-02,1.62E-02,1.51E-02,1.37E-02,1.17E-02,6.96E-03
EL0_4562_0001,3.00E-01,1.85E-01,1.61E-01,1.49E-01,1.42E-01,1.36E-01,1.32E-01,1.29E-01,1.26E-01,1.24E-01,1.22E-01,1.18E-01,1.15E-01,1.12E-01,1.10E-01,1.07E-01,1.03E-01,9.92E-02,9.62E-02,9.25E-02,8.89E-02,8.51E-02,8.13E-02,7.74E-02,7.37E-02,7.01E-02,6.56E-02,5.95E-02,5.71E-02,5.45E-02,5.17E-02,4.88E-02,4.60E-02,4.46E-02,4.31E-02,4.17E-02,4.02E-02,3.88E-02,3.70E-02,3.48E-02,3.11E-02,2.67E-02,1.65E-02
EL0_5400_0001,2.93E-01,1.63E-01,1.41E-01,1.25E-01,1.16E-01,1.09E-01,1.03E-01,9.90E-02,9.52E-02,9.21E-02,8.93E-02,8.45E-02,8.06E-02,7.73E-02,7.46E-02,7.23E-02,6.71E-02,6.20E-02,5.79E-02,5.44E-02,5.12E-02,4.81E-02,4.41E-02,4.02E-02,3.63E-02,3.23E-02,2.84E-02,2.52E-02,2.36E-02,2.17E-02,1.96E-02,1.74E-02,1.53E-02,1.42E-02,1.32E-02,1.20E-02,1.08E-02,9.41E-03,8.26E-03,7.11E-03,6.07E-03,4.63E-03,2.19E-03
EL1_5150_0001,1.70E-01,1.20E-01,1.05E-01,9.60E-02,9.00E-02,8.57E-02,8.23E-02,7.93E-02,7.67E-02,7.45E-02,7.25E-02,6.93E-02,6.62E-02,6.36E-02,6.14E-02,5.96E-02,5.60E-02,5.28E-02,4.96E-02,4.69E-02,4.44E-02,4.22E-02,4.01E-02,3.80E-02,3.51E-02,3.20E-02,2.88E-02,2.55E-02,2.42E-02,2.28E-02,2.14E-02,2.01E-02,1.84E-02,1.73E-02,1.62E-02,1.51E-02,1.40E-02,1.28E-02,1.14E-02,9.62E-03,7.50E-03,2.97E-03,1.96E-07
EL1_5430_0001,1.06E-01,8.17E-02,7.16E-02,6.54E-02,6.13E-02,5.80E-02,5.54E-02,5.33E-02,5.16E-02,5.01E-02,4.87E-02,4.65E-02,4.47E-02,4.32E-02,4.18E-02,4.05E-02,3.77E-02,3.54E-02,3.34E-02,3.12E-02,2.89E-02,2.68E-02,2.48E-02,2.27E-02,2.00E-02,1.71E-02,1.43E-02,1.19E-02,1.09E-02,9.83E-03,8.76E-03,7.68E-03,6.66E-03,6.08E-03,5.50E-03,4.96E-03,4.33E-03,3.63E-03,2.85E-03,1.98E-03,1.14E-03,3.71E-04,5.26E-06
EL1_5570_0001,8.67E-02,7.21E-02,6.49E-02,6.02E-02,5.65E-02,5.34E-02,5.12E-02,4.92E-02,4.76E-02,4.62E-02,4.49E-02,4.27E-02,4.09E-02,3.96E-02,3.83E-02,3.72E-02,3.48E-02,3.26E-02,3.07E-02,2.91E-02,2.76E-02,2.59E-02,2.41E-02,2.23E-02,2.04E-02,1.82E-02,1.55E-02,1.27E-02,1.16E-02,1.07E-02,9.90E-03,9.12E-03,8.11E-03,7.62E-03,7.07E-03,6.49E-03,5.98E-03,5.39E-03,4.75E-03,4.02E-03,3.14E-03,1.96E-03,2.44E-05
EL1_6000_0001,9.02E-02,7.12E-02,6.35E-02,5.88E-02,5.54E-02,5.25E-02,5.02E-02,4.83E-02,4.66E-02,4.52E-02,4.39E-02,4.16E-02,3.98E-02,3.84E-02,3.71E-02,3.60E-02,3.37E-02,3.18E-02,3.02E-02,2.88E-02,2.73E-02,2.58E-02,2.43E-02,2.29E-02,2.14E-02,1.98E-02,1.75E-02,1.49E-02,1.39E-02,1.29E-02,1.19E-02,1.07E-02,9.81E-03,9.21E-03,8.55E-03,7.90E-03,7.34E-03,6.68E-03,5.90E-03,5.09E-03,3.99E-03,1.91E-03,1.46E-06
EL2_4400_4590,1.18E-01,5.71E-02,4.79E-02,4.30E-02,4.00E-02,3.80E-02,3.63E-02,3.49E-02,3.38E-02,3.28E-02,3.19E-02,3.04E-02,2.91E-02,2.80E-02,2.71E-02,2.62E-02,2.41E-02,2.22E-02,2.06E-02,1.91E-02,1.78E-02,1.66E-02,1.56E-02,1.46E-02,1.37E-02,1.27E-02,1.17E-02,1.06E-02,1.01E-02,9.67E-03,9.21E-03,8.74E-03,8.24E-03,7.99E-03,7.73E-03,7.45E-03,7.14E-03,6.80E-03,6.41E-03,5.96E-03,5.32E-03,4.39E-03,2.09E-03
EL2_4590_0001,1.30E-01,1.06E-01,9.30E-02,8.55E-02,8.04E-02,7.66E-02,7.36E-02,7.13E-02,6.92E-02,6.75E-02,6.60E-02,6.36E-02,6.14E-02,5.94E-02,5.77E-02,5.63E-02,5.35E-02,5.09E-02,4.86E-02,4.64E-02,4.45E-02,4.26E-02,4.09E-02,3.89E-02,3.67E-02,3.43E-02,3.18E-02,2.91E-02,2.81E-02,2.69E-02,2.55E-02,2.38E-02,2.22E-02,2.13E-02,2.05E-02,1.96E-02,1.88E-02,1.79E-02,1.70E-02,1.61E-02,1.50E-02,1.35E-02,8.07E-03
EL2_5110_5270,1.02E-01,8.43E-02,7.72E-02,7.29E-02,6.96E-02,6.68E-02,6.46E-02,6.25E-02,6.07E-02,5.94E-02,5.81E-02,5.58E-02,5.37E-02,5.18E-02,5.01E-02,4.86E-02,4.50E-02,4.20E-02,3.97E-02,3.76E-02,3.57E-02,3.37E-02,3.17E-02,2.95E-02,2.73E-02,2.52E-02,2.26E-02,1.95E-02,1.83E-02,1.70E-02,1.55E-02,1.39E-02,1.25E-02,1.18E-02,1.14E-02,1.09E-02,1.04E-02,9.80E-03,9.12E-03,8.21E-03,7.15E-03,5.89E-03,3.34E-03
EL2_5270_0001,5.73E-02,5.14E-02,4.82E-02,4.57E-02,4.35E-02,4.18E-02,4.02E-02,3.88E-02,3.76E-02,3.66E-02,3.57E-02,3.41E-02,3.27E-02,3.15E-02,3.05E-02,2.96E-02,2.76E-02,2.60E-02,2.46E-02,2.34E-02,2.22E-02,2.09E-02,1.97E-02,1.86E-02,1.74E-02,1.61E-02,1.44E-02,1.28E-02,1.21E-02,1.12E-02,1.03E-02,9.45E-03,8.60E-03,8.20E-03,7.76E-03,7.31E-03,6.91E-03,6.47E-03,6.14E-03,5.77E-03,5.30E-03,4.42E-03,2.69E-03
