TABLE->,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.006351,0.200000,0,0.000635,0.006351,0.500000,0.000200,0.100E-06
A10003,1,0,0,1,0,1,0,1,0,0.015356,0.200000,0,0.001536,0.015356,0.500000,0.000200,0.100E-06
A10005,1,0,0,1,0,1,0,1,0,0.008929,0.200000,0,0.000893,0.008929,0.500000,0.000200,0.100E-06
A11001,1,0,0,1,0,1,0,1,0,0.006441,0.200000,0,0.000644,0.006441,0.500000,0.000200,0.100E-06
A24001,1,0,0,1,0,1,0,1,0,0.010879,0.200000,0,0.001088,0.010879,0.500000,0.000200,0.100E-06
A24003,1,0,0,1,0,1,0,1,0,0.014304,0.200000,0,0.001430,0.014304,0.500000,0.000200,0.100E-06
A24005,1,0,0,1,0,1,0,1,0,0.006600,0.200000,0,0.000660,0.006600,0.500000,0.000200,0.100E-06
A24009,1,0,0,1,0,1,0,1,0,0.008501,0.200000,0,0.000850,0.008501,0.500000,0.000200,0.100E-06
A24011,1,0,0,1,0,1,0,1,0,0.015748,0.200000,0,0.001575,0.015748,0.500000,0.000200,0.100E-06
A24013,1,0,0,1,0,1,0,1,0,0.009156,0.200000,0,0.000916,0.009156,0.500000,0.000200,0.100E-06
A24015,1,0,0,1,0,1,0,1,0,0.008219,0.200000,0,0.000822,0.008219,0.500000,0.000200,0.100E-06
A24017,1,0,0,1,0,1,0,1,0,0.011704,0.200000,0,0.001170,0.011704,0.500000,0.000200,0.100E-06
A24019,1,0,0,1,0,1,0,1,0,0.017027,0.200000,0,0.001703,0.017027,0.500000,0.000200,0.100E-06
A24021,1,0,0,1,0,1,0,1,0,0.008633,0.200000,0,0.000863,0.008633,0.500000,0.000200,0.100E-06
A24023,1,0,0,1,0,1,0,1,0,0.019438,0.200000,0,0.001944,0.019438,0.500000,0.000200,0.100E-06
