riverseg,landseg,floafo,floalf,floccn,flocex,flocfo,flocid,flocpd,flofor,flohom,flohvf,flohwm,flohyo,flohyw,flolwm,flonal,flonex,flonhi,flonho,flonhy,flonid,flonlo,flonpa,flonpd,flopas,florcn,florex,florid,florpd,flotrp,flours,tn afo,tn alf,tn ccn,tn cex,tn cfo,tn cid,tn cpd,tn for,tn hom,tn hvf,tn hwm,tn hyo,tn hyw,tn lwm,tn nal,tn nex,tn nhi,tn nho,tn nhy,tn nid,tn nlo,tn npa,tn npd,tn pas,tn rcn,tn rex,tn rid,tn rpd,tn trp,tn urs,tp afo,tp alf,tp ccn,tp cex,tp cfo,tp cid,tp cpd,tp for,tp hom,tp hvf,tp hwm,tp hyo,tp hyw,tp lwm,tp nal,tp nex,tp nhi,tp nho,tp nhy,tp nid,tp nlo,tp npa,tp npd,tp pas,tp rcn,tp rex,tp rid,tp rpd,tp trp,tp urs,sedafo,sedalf,sedccn,sedcex,sedcfo,sedcid,sedcpd,sedfor,sedhom,sedhvf,sedhwm,sedhyo,sedhyw,sedlwm,sednal,sednex,sednhi,sednho,sednhy,sednid,sednlo,sednpa,sednpd,sedpas,sedrcn,sedrex,sedrid,sedrpd,sedtrp,sedurs
BS0_8441_0000,A51027,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.170,0.170,0.000,0.000,0.170,0.000,0.000,0.143,0.170,0.143,0.170,0.170,0.170,0.170,0.170,0.144,0.170,0.170,0.170,0.161,0.170,0.154,0.161,0.154,0.154,0.144,0.161,0.161,0.154,0.170
BS0_8441_0000,A51051,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.218,0.218,0.000,0.000,0.218,0.000,0.000,0.251,0.218,0.251,0.218,0.218,0.218,0.218,0.218,0.226,0.218,0.218,0.218,0.238,0.218,0.233,0.238,0.233,0.233,0.226,0.238,0.238,0.233,0.218
BS1_8140_0000,A51027,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.104,0.104,0.000,0.000,0.104,0.000,0.000,0.105,0.104,0.105,0.104,0.104,0.104,0.104,0.104,0.122,0.104,0.104,0.104,0.117,0.104,0.112,0.117,0.112,0.112,0.122,0.117,0.117,0.112,0.104
BS1_8730_8540,A51051,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.227,0.227,0.000,0.000,0.227,0.000,0.000,0.212,0.227,0.212,0.227,0.227,0.227,0.227,0.227,0.176,0.227,0.227,0.227,0.197,0.227,0.203,0.197,0.203,0.203,0.176,0.197,0.197,0.203,0.227
BS1_8730_8540,A51195,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.206,0.206,0.000,0.000,0.206,0.000,0.000,0.189,0.206,0.189,0.206,0.206,0.206,0.206,0.206,0.165,0.206,0.206,0.206,0.198,0.206,0.189,0.198,0.189,0.189,0.165,0.198,0.198,0.189,0.206
BS2_8590_8440,A51027,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.178,0.178,0.000,0.000,0.178,0.000,0.000,0.170,0.178,0.170,0.178,0.178,0.178,0.178,0.178,0.142,0.178,0.178,0.178,0.197,0.178,0.172,0.197,0.172,0.172,0.142,0.197,0.197,0.172,0.178
BS2_8590_8440,A51051,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.162,0.162,0.000,0.000,0.162,0.000,0.000,0.140,0.162,0.140,0.162,0.162,0.162,0.162,0.162,0.128,0.162,0.162,0.162,0.142,0.162,0.143,0.142,0.143,0.143,0.128,0.142,0.142,0.143,0.162
BS3_8330_0000,A51027,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.222,0.222,0.000,0.000,0.222,0.000,0.000,0.173,0.222,0.173,0.222,0.222,0.222,0.222,0.222,0.177,0.222,0.222,0.222,0.438,0.222,0.253,0.438,0.253,0.253,0.177,0.438,0.438,0.253,0.222
BS3_8350_8330,A51027,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.113,0.113,0.000,0.000,0.113,0.000,0.000,0.109,0.113,0.109,0.113,0.113,0.113,0.113,0.113,0.111,0.113,0.113,0.113,0.183,0.113,0.129,0.183,0.129,0.129,0.111,0.183,0.183,0.129,0.113
BS3_8580_8440,A51051,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.146,0.146,0.000,0.000,0.146,0.000,0.000,0.173,0.146,0.173,0.146,0.146,0.146,0.146,0.146,0.159,0.146,0.146,0.146,0.142,0.146,0.155,0.142,0.155,0.155,0.159,0.142,0.142,0.155,0.146
BS3_8580_8440,A51195,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.086,0.086,0.000,0.000,0.086,0.000,0.000,0.082,0.086,0.082,0.086,0.086,0.086,0.086,0.086,0.084,0.086,0.086,0.086,0.087,0.086,0.085,0.087,0.085,0.085,0.084,0.087,0.087,0.085,0.086
BS4_8060_0000,A51027,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.157,0.157,0.000,0.000,0.157,0.000,0.000,0.188,0.157,0.188,0.157,0.157,0.157,0.157,0.157,0.144,0.157,0.157,0.157,0.163,0.157,0.163,0.163,0.163,0.163,0.144,0.163,0.163,0.163,0.157
BS4_8440_8441,A51027,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.085,0.085,0.000,0.000,0.085,0.000,0.000,0.089,0.085,0.089,0.085,0.085,0.085,0.085,0.085,0.091,0.085,0.085,0.085,0.094,0.085,0.090,0.094,0.090,0.090,0.091,0.094,0.094,0.090,0.085
BS4_8440_8441,A51051,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.173,0.173,0.000,0.000,0.173,0.000,0.000,0.161,0.173,0.161,0.173,0.173,0.173,0.173,0.173,0.169,0.173,0.173,0.173,0.208,0.173,0.178,0.208,0.178,0.178,0.169,0.208,0.208,0.178,0.173
BS4_8540_8441,A51051,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.220,0.220,0.000,0.000,0.220,0.000,0.000,0.216,0.220,0.216,0.220,0.220,0.220,0.220,0.220,0.251,0.220,0.220,0.220,0.191,0.220,0.219,0.191,0.219,0.219,0.251,0.191,0.191,0.219,0.220
BS4_8540_8441,A51195,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.700,1.000,0.000,0.000,0.700,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.100,1.000,0.000,0.000,0.100,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.204,0.204,0.000,0.000,0.204,0.000,0.000,0.177,0.204,0.177,0.204,0.204,0.204,0.204,0.204,0.191,0.204,0.204,0.204,0.182,0.204,0.189,0.182,0.189,0.189,0.191,0.182,0.182,0.189,0.204
DE0_2590_0000,A10003,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.770,1.100,0.000,0.000,0.770,0.000,0.000,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,0.050,0.500,0.000,0.000,0.050,0.000,0.000,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.151,0.151,0.000,0.000,0.151,0.000,0.000,0.176,0.151,0.176,0.151,0.151,0.151,0.151,0.151,0.213,0.151,0.151,0.151,0.188,0.151,0.169,0.188,0.169,0.188,0.213,0.188,0.188,0.169,0.151
