riverseg,Additional EOS Loads (lbs/yr) ***
BS0_8441_0000,0
BS1_8140_0000,0
BS1_8730_8540,384.4383
BS2_8590_8440,220.57947
BS3_8330_0000,0
BS3_8350_8330,2501.942
BS3_8580_8440,368.671
BS4_8060_0000,0
BS4_8440_8441,377.0423
BS4_8540_8441,20384.398
DE0_2590_0000,0
DE0_2600_0000,0
DE0_2610_0000,0
DE0_2640_0000,0
DE0_2690_0000,0
DE0_2710_0000,0
DE0_2800_0000,0
DE0_2850_0000,0
DE0_2870_0000,0
DE0_2920_0000,0
DE0_2960_0000,0
DE0_2990_0000,14996.97
DE0_3110_0000,0
DE0_3260_0000,0
DE0_3280_0000,0
DE0_3310_0000,0
DE0_3380_0000,0
DE0_3410_0000,0
DE0_3790_0000,0
DE0_3791_0001,0
DE0_3840_0000,0
DE0_4140_0000,0
DE0_4141_0001,0
DE0_4230_0000,0
DE0_4231_0001,0
DE0_4350_0000,0
DE0_4520_0000,0
DE0_4570_0000,0
DE0_4680_0000,0
DE0_4800_0000,0
DE0_4850_0000,0
DE0_4990_0000,0
DE0_5020_0000,0
DE0_5021_0000,0
DE0_5170_0000,0
DE0_5410_0000,0
DE0_5420_0000,0
DE0_5650_0000,0
DE0_6210_0000,0
DE0_6310_0000,0
DE0_6630_0000,0
DE0_6980_0000,0
DE0_7130_0000,5575.493
EL0_4560_4562,26.65936
EL0_4561_4562,93.30774
EL0_4562_0001,0
EL0_4591_0000,13998.22649
EL0_4592_0000,52.90961
EL0_4593_0000,3078.6705
EL0_4594_0000,416.38295
EL0_4595_0000,433.5888
EL0_4596_0000,23.6503
EL0_4631_0000,386.5607
EL0_4632_0000,1306.308
EL0_4633_0000,3385.34587
EL0_5040_0000,928.9791
EL0_5151_0000,6228.217
EL0_5271_0000,4052.5708
EL0_5280_0000,54360.84
EL0_5281_0000,10211.55
EL0_5282_0000,907.0219
EL0_5283_0000,279.6651
EL0_5284_0000,2577.454
EL0_5400_0001,758.9764
EL0_5590_0000,3537.385
EL0_5760_0000,26239.472
EL0_5761_0000,1261.0477
EL0_5762_0000,2058.6951
EL0_5763_0000,1065.374
EL0_5890_0000,10546.11108
EL0_5891_0000,3724.863
EL0_5892_0000,1638.399
EL0_5893_0000,1347.469
EL0_6001_0000,720.5834
EL0_6002_0000,109.33172
EL0_6003_0000,1806.592
EL0_6010_0000,710.2493
EL0_6011_0000,5452.777
EL0_6190_0000,41993.3894
EL0_6480_0000,1747.83637
EL0_6550_0000,6.825821
EL0_6610_0000,1191.01376
EL0_6920_0000,27.69858
EL0_7060_0000,1139.53193
EL0_7220_0000,39.23965
EL1_5150_0001,0
EL1_5430_0001,15.76687
EL1_5570_0001,0
EL1_5660_0000,139.8663
EL1_6000_0001,23.67498
EL2_4400_4590,0
EL2_4590_0001,97.44907
EL2_4630_0000,29526.89766
EL2_5110_5270,15.76687
EL2_5270_0001,1762.0736
EL3_5870_0000,194.2587
EL3_5970_0000,13769.84712
EM0_4322_0000,1290.87166
EM0_4323_0000,44.97649
EM0_4324_0000,84.361323
EM0_4870_0000,1261.365
EM0_4871_0000,1668.7935
EM0_4872_0000,1115.9022
EM0_4873_0000,3812.5331
EM0_4874_0000,1264.1775
EM0_4880_0000,2465.8163
EM0_4881_0000,40954.2661
EM0_4882_0000,446.2956
EM0_4883_0000,1617.522
EM0_4884_0000,234.314
EM0_4885_0000,355.2502
EM0_4886_0000,393.0428
EM0_4887_0000,3454.242
EM0_4888_0000,2690.832
EM0_5260_0000,4006.013
EM2_3980_0001,324.39242
EM2_4100_0001,676.11342
EM2_4101_0000,91.513244
EM3_4320_0000,1695.03816
EM3_4321_0000,91.90942
EM3_4325_0000,3802.4817
EM3_4326_0000,0
EM4_4740_0000,13968.6364
EU0_2940_0000,1239.1128
EU0_2941_0000,1016.97775
EU0_2985_0000,0
EU0_3010_0000,2079.3707
EU0_3050_0000,1616.1883
EU0_3130_0000,933.8342
