seg,bias of median TP ***
PL1_4460_4780,-0.046071429
RL1_6180_0001,-0.1418
BS3_8350_8330,-0.3095
NR2_8600_8700,-0.0735
TU4_8680_8810,-0.364333333
JL6_6890_6990,-0.0747
JU2_6410_6640,-0.7377
JU3_6380_6900,-0.6937
JU3_6640_6790,-0.7257
PM1_3120_3400,0.400540541
PM1_3510_4000,-0.181
PM1_4430_4200,-0.4309
PM4_4040_0003,0.135
PS1_4790_4830,-0.2936
PS2_5550_5560,-0.4647
PS4_5840_5240,-0.111
PS4_6360_5840,-0.1865
PU6_4020_3870,0.339090909
RU3_5610_0003,-0.3014
RU4_5640_0003,-0.1024
SL2_1850_1990,0.967666667
SL4_2370_2330,0.469
SW1_1890_1830,0.16875
YM4_6620_0003,-0.1094
YP4_6720_6750,-0.020571429
PL0_4510_0001,0.275510204
PL0_5000_0001,-0.451
PL0_5010_5130,0.461709402
PL0_5540_5490,0.25
PL0_5730_5690,-0.5726
WM3_3880_4060,-0.042913907
WU2_3020_3320,0.638333333
XL1_4690_0001,0.195555556
MN3_7540_7680,-0.041076923
NR2_8210_8180,-0.578
NR6_8500_0003,-0.030333333
JA2_7550_7280,-0.4889
JL2_6240_6520,-0.3516
JL2_6441_6520,-0.6338
JL4_6520_6710,0.123
JL6_7430_7320,0.052173913
JU1_7630_7490,-0.7866
JU1_7750_7560,-0.6364
PM1_4250_4500,1.424
PM7_4820_0001,0.007833333
PS2_5560_5100,0.231
PS2_6730_6660,-0.2392
PS3_5100_5080,0.56
PS5_5240_5200,0.657
PU2_5190_4310,3.306
PU2_6050_5190,0.457948718
PU3_3680_3890,0.42
PU3_3860_3610,1.040769231
PU4_4310_4210,2.207
PU4_4440_0003,1.507272727
PU6_3610_3530,0.002028986
PU6_3752_4080,0.125333333
RU2_6090_6220,-0.3759
RU3_6170_6040,0.121
SJ4_2060_2010,-0.012666667
SJ4_2660_2360,0.383
SJ6_2130_0003,0.435714286
SL1_1730_1700,0.024102564
SL1_2390_2420,0.17171875
SL3_2290_2260,0.5112
SL3_2420_2700,0.804347826
SL3_2730_2550,0.402142857
SL9_2270_0003,0.352333333
SL9_2490_2520,0.258285714
SL9_2720_0001,0.8998
SU2_0741_0690,0.226888889
SU3_0790_0770,0.355666667
SU3_0810_0970,0.595714286
SU3_0831_0790,0.33
SU3_0970_1120,-0.17875
SU7_0850_0730,0.170075188
SU7_1120_1140,0.004125
SU8_1610_1530,0.09725
SW0_1520_1600,0.5955
SW3_1040_1220,0.172
SW3_1870_1800,0.659
SW3_1920_1750,0.28975
SW4_1110_1150,1.120666667
SW4_1260_0003,0.217
SW4_1430_1490,0.697
SW4_1940_1860,0.288
SW5_1350_0003,0.230909091
SW5_1540_0003,0.248571429
SW6_1330_1230,0.343333333
SW7_1320_0003,0.291666667
SW7_1640_0003,0.16675
XU0_4130_4070,0.456904762
EL0_4562_0003,1.027956989
EL1_5430_0001,0.075
JB3_6820_7053,-0.476666667
PL1_4540_0001,-0.096610169
PL1_5370_5470,0.766
RL0_6540_0001,-0.5439
WM1_3660_3910,0.80625
