 seg ,TOTN,TOTP
PL0_5000_0001, -999.0000,    0.9523
PL0_4510_0001,    1.0494,    0.9992
JB3_6820_7053,    0.6967,    0.9052
EM2_3980_0001,    0.9663,    0.9846
EL1_5430_0001,    0.8819,    0.9097
EL0_4560_4562,    0.9967,    0.9921
EL0_4561_4562,    0.9967,    0.9921
EL0_4562_0001, -999.0000, -999.0000
WU0_3021_3020,    1.0041,    0.9757
WU2_3020_3320,    1.0041,    0.9757
WM0_3881_3880,    1.0151,    1.0109
WM1_3882_3880,    1.0151,    1.0109
WM3_3880_4060,    1.0151,    1.0109
WM1_3660_3910,    0.9755,    1.0018
PL1_5370_5470, -999.0000,    0.9442
PL1_5230_0001,    0.9987,    1.0009
PL1_4540_0001, -999.0000,    1.0075
PL1_4460_4780,    0.9284,    0.9920
PL0_5540_5490, -999.0000,    0.9963
PL0_5070_0001,    0.9159,    0.9682
PL0_5010_5130,    0.3244,    1.0443
XL1_4690_0001,    1.0741,    1.0039
XL0_5320_0001,    0.6881,    0.9943
