 seg ,TOTN,TOTP
PL0_5000_0001, -999.0000,    0.9801
PL0_4510_0001,    1.0348,    1.1136
JB3_6820_7053,    0.6771,    0.8615
EM2_3980_0001,    0.9468,    1.0041
EL1_5430_0001,    0.9919,    1.0562
EL0_4560_4562,    0.8493,    0.9942
EL0_4561_4562,    0.8493,    0.9942
EL0_4562_0001, -999.0000, -999.0000
WU0_3021_3020,    1.0432,    1.0450
WU2_3020_3320,    1.0432,    1.0450
WM0_3881_3880,    0.9591,    0.9943
WM1_3882_3880,    0.9591,    0.9943
WM3_3880_4060,    0.9591,    0.9943
WM1_3660_3910,    0.9236,    0.9939
PL1_5370_5470, -999.0000,    0.9517
PL1_5230_0001,    1.1288,    1.0035
PL1_4540_0001, -999.0000,    1.0088
PL1_4460_4780,    0.9493,    0.9841
PL0_5540_5490, -999.0000,    0.9960
PL0_5070_0001,    0.8766,    1.0109
PL0_5010_5130,    0.9181,    0.9935
XL1_4690_0001,    0.9043,    1.7010
XL0_5320_0001,    0.6807,    1.0006
