 seg ,TOTN,TOTP
BS2_8590_8440,    0.6494,    1.0184
BS1_8730_8540, -999.0000, -999.0000
BS3_8580_8440,    0.6494,    1.0184
BS4_8440_8441, -999.0000, -999.0000
BS4_8540_8441, -999.0000, -999.0000
BS3_8350_8330,    0.5115,    0.9584
 seg ,TOTN,TOTP
WM0_3881_3880,    0.9769,    1.0570
WM1_3882_3880,    0.9769,    1.0570
WM3_3880_4060,    0.9769,    1.0570
WM1_3660_3910,    0.9165,    0.9937
JB3_6820_7053,    0.7031,    0.9214
WU0_3021_3020,    0.9046,    0.6545
WU2_3020_3320,    0.9046,    0.6545
PL1_5370_5470, -999.0000,    0.9181
PL0_5540_5490, -999.0000,    0.9734
PL0_5000_0001, -999.0000,    0.8244
PL0_4510_0001,    0.9643,    0.9914
EL0_4561_4562, -999.0000, -999.0000
EL0_4560_4562, -999.0000, -999.0000
XL1_4690_0001,    1.0307,    1.0392
XL0_5320_0001,    0.5981,    0.9642
PL1_5230_0001,    0.9066,    0.9899
PL1_4460_4780,    0.8373,    1.0083
PL1_4780_0001, -999.0000, -999.0000
PL1_4540_0001, -999.0000,    1.0480
PL0_5010_5130,    0.3633,    1.0356
 seg ,TOTN,TOTP
JA1_7600_7570,    0.8952,    0.9945
JA2_7410_7470,    0.8952,    0.9690
JA2_7570_7480,    0.8952,    0.9690
JA1_7640_7280,    0.8952,    0.9690
JA2_7550_7280,    0.8952,    0.9690
JA4_7280_7340,    0.8952,    0.9690
JA4_7340_7470,    0.8952,    0.9690
JA4_7470_7480,    0.8952,    0.9690
JA5_7480_0001,    0.8952,    0.9690
 seg ,TOTN,TOTP
JL1_7170_6800,    1.9277, -999.0000
JL3_7020_7100,    0.9358,    1.9019
JL2_6240_6520,    0.9358,    0.8765
JL2_7110_7120,    0.9358,    0.9869
JL1_6560_6440,    0.4791,    0.9924
JL1_6760_6910,    0.9358,    1.9019
JL2_7120_6970,    0.9358,    1.9019
JL2_6440_6441,    0.9358,    1.0689
JL2_6441_6520,    0.9358,    1.0689
JL1_6770_6850,    0.9358,    1.9019
JL1_6910_6960,    0.9358,    1.9019
JL1_7080_7190,    0.9358,    1.0585
JL4_6520_6710,    0.9358,    0.6005
JL2_6850_6890,    0.9358,    1.9019
JL1_7530_7430,    0.9358,    1.9019
JL4_6710_6740,    0.9358,    1.9019
JL2_7240_7350,    0.8275,    1.0620
JL1_6940_7200,    0.9358,    1.9019
JU2_7180_7380,    1.4033,    1.9019
JL1_7190_7250,    0.9358,    1.9019
JL2_7350_7090,    0.9358,    1.9019
JL1_7200_7250,    0.9358,    1.9019
JU1_7750_7560,    1.4033,    1.9019
JU1_6880_7260,    0.5769,    0.8444
JL2_7250_7090,    0.9358,    1.9019
JL3_7090_7150,    0.9358,    1.9019
JU2_6410_6640,    0.2500,    0.8363
JU1_7630_7490,    1.4033,    1.1413
JU3_6640_6790,    0.5769,    0.8113
JU3_6790_7260,    0.5769,    0.8444
JU1_7560_7500,    1.4033,    1.9019
JU1_6300_6650,    0.7422,    1.0465
JU4_7260_7380,    1.4033,    1.9019
JU1_7690_7490,    1.4033,    1.9019
JU2_7450_7360,    0.2500,    1.9019
JU1_6340_6650,    1.4033,    1.9019
JU4_7380_7160,    1.4033,    1.9019
JU3_7490_7400,    1.4033,    1.9019
JU3_7400_7510,    1.4033,    1.9019
JU3_6650_7300,    1.4033,    1.9019
JU2_7140_7330,    0.9856,    1.9019
JU2_7360_7000,    0.2500,    1.9019
JU1_6290_6590,    0.8703,    1.9019
JU3_6380_6900,    1.2002,    1.9019
JU1_6590_6600,    0.8703,    1.9019
JU2_6600_6810,    0.8703,    1.9019
JU2_6810_6900,    1.2002,    1.9019
JU3_6900_6950,    1.2002,    1.9019
JU3_6950_7330,    0.9856,    1.9019
JU4_7330_7000,    0.2500,    1.9019
JU4_7000_7300,    0.2500,    1.9019
JU5_7300_7510,    1.4033,    1.9019
JU5_7510_7500,    1.4033,    1.9019
JU5_7500_7420,    1.4033,    1.9019
JU5_7420_7160,    1.4033,    1.9019
JL6_7160_7440,    1.4033,    1.9019
JL6_7440_7430,    0.9358,    1.9019
JL6_7430_7320,    0.9358,    1.9019
JL6_7320_7150,    0.9358,    1.9019
JL6_7150_6890,    0.9358,    1.9019
JL6_6890_6990,    0.9358,    1.9019
JL6_6990_6960,    0.9358,    1.9019
JL6_6960_6970,    0.9358,    1.9019
JL6_6970_6740,    0.9358,    1.9019
JL6_6740_7100,    0.9358,    1.9019
JL7_7100_7030,    0.9358,    1.9019
JL7_7030_6800,    1.9277, -999.0000
JL7_6800_7070,    1.9277, -999.0000
JL7_7070_0001, -999.0000, -999.0000
 seg ,TOTN,TOTP
MN0_8300_0001, -999.0000, -999.0000
MN1_7590_7860, -999.0000, -999.0000
MN4_7810_8080, -999.0000, -999.0000
MN3_7540_7680,    0.7065,    0.8777
MN3_7680_7860, -999.0000, -999.0000
MN3_7860_8080, -999.0000, -999.0000
MN4_8080_8110, -999.0000, -999.0000
MN1_7990_8100, -999.0000, -999.0000
MN2_8530_8510, -999.0000, -999.0000
MN2_8250_8190, -999.0000, -999.0000
MN4_8510_8380, -999.0000, -999.0000
MN2_8100_8190, -999.0000, -999.0000
MN3_8190_8260, -999.0000, -999.0000
MN4_8260_8400, -999.0000, -999.0000
MN4_8400_8380, -999.0000, -999.0000
MN1_7730_8160, -999.0000, -999.0000
MN1_7620_7710,    1.2272,    0.9832
MN5_8230_8161,    1.2272,    0.9832
MN2_7720_7830,    1.2272,    0.9832
MN3_7770_7930,    0.8781,    0.8165
MN2_7830_7950,    1.2272,    0.9832
MN3_7930_8010,    0.8781,    0.8165
MN3_8010_7950,    1.2272,    0.9832
MN4_7950_7710,    1.2272,    0.9832
MN4_7710_8161,    1.2272,    0.9832
MN5_8161_8160, -999.0000, -999.0000
 seg ,TOTN,TOTP
NR1_8030_8051,    1.1104,    0.6766
NR1_7880_8050,    1.1104,    0.6766
NR2_8210_8180,    1.1104,    0.6766
NR3_8420_8430,    0.6640,    0.7104
NR3_8290_8170,    1.1104,    0.6766
NR6_8180_8051,    1.1104,    0.6766
NR3_8690_8500,    0.8893,    0.6700
NR3_8430_7820,    1.1104,    0.6766
NR6_8170_7960,    1.1104,    0.6766
NR3_8740_8500,    0.8893,    0.6700
NR2_8600_8700,    0.8893,    0.6700
NR1_8820_8760,    0.8893,    0.6700
NR5_8700_8640,    0.8893,    0.6700
NR1_8960_8870,    0.8953,    0.9810
NR1_9150_9050,    0.8953,    0.9810
NR1_9030_9080,    0.8953,    0.9810
NR2_9250_9170,    0.8953,    0.9810
NR3_9310_9240,    0.8953,    0.9810
NR3_9190_9170,    0.8953,    0.9810
NR3_9170_9130,    0.8953,    0.9810
NR3_9240_9130,    0.8953,    0.9810
NR4_9130_9080,    0.8953,    0.9810
NR5_9080_9050,    0.8953,    0.9810
NR5_9050_8870,    0.8953,    0.9810
NR5_8870_8760,    0.8893,    0.6700
NR5_8760_8640,    0.8893,    0.6700
NR6_8640_8500,    0.8893,    0.6700
NR6_8500_7820,    1.1104,    0.6766
NR6_7820_7960,    1.1104,    0.6766
NR6_7960_8050,    1.1104,    0.6766
NR6_8050_8051,    1.1104,    0.6766
NR6_8051_8000,    1.1104,    0.6766
 seg ,TOTN,TOTP
RU2_5220_5640,    1.3115,    0.7081
RU2_5940_6200,    1.3115,    0.9371
RU2_5500_5610,    1.3115,    0.7081
RU2_5810_5610,    1.3115,    0.7081
RU2_6090_6220,    1.3115,    0.7081
RU3_5610_5640,    1.3115,    0.7081
RU4_5640_6030,    1.3115,    0.7081
RU2_6200_6170,    1.3115,    0.7081
RU2_6220_6170,    1.3115,    0.7081
RU3_6170_6040,    1.3115,    0.7081
RU4_6040_6030,    1.3115,    0.7081
RU5_6030_0001,    1.3115,    0.7081
 seg ,TOTN,TOTP
SJ2_2150_2130,    0.9139,    0.8052
SJ2_2110_2170,    0.9139,    0.8052
SJ2_1900_1930,    0.9139,    0.8052
SJ3_2160_2170,    0.9139,    0.8052
SJ3_2170_1970,    0.9139,    0.8052
SJ1_2280_2450,    0.9139,    0.8052
SJ3_2040_1980,    0.9139,    0.6462
SJ2_2580_2500,    0.9139,    0.8052
SJ2_2500_2450,    0.9139,    0.8052
SJ2_2570_2660,    0.8170,    0.8052
SJ3_2450_2120,    0.9139,    0.8052
SJ3_2250_2230,    0.9139,    1.1309
SJ2_2530_2820,    0.8170,    0.8052
SJ3_1980_2060,    0.9139,    0.8052
SJ3_2230_2060,    0.9139,    0.8052
SJ2_2900_2740,    0.8170,    0.8052
