 seg ,TOTN,TOTP
PM0_4640_4820,    0.5517,    0.8229
PM1_4250_4500,    0.5517,    0.8229
PM2_4860_4670,    0.5517,    0.3244
PM1_4500_4580,    0.5517,    0.8229
PM1_3710_4040,    1.3886,    1.4850
PM3_4670_4660,    0.5517,    0.3244
PM1_4430_4200,    4.0000,    0.2500
PM1_3120_3400,    1.1765,    0.6582
PM3_4660_4620,    0.5517,    0.8229
PM2_2860_3040,    0.9794,    0.9229
PM1_3510_4000,    0.7749,    0.5654
PS1_4790_4830,    1.0648,    0.7506
PM1_3450_3400,    1.3886,    1.4850
PM1_4000_4290,    4.0000,    0.8229
PU0_3000_3090,    1.2126,    0.5272
PM2_3400_3340,    1.3886,    1.4850
PM3_3040_3340,    1.3886,    1.4850
PS2_6730_6660,    0.3691,    0.4991
PU0_3751_3752,    1.7772,    0.8229
PU2_3090_4050,    1.2647,    0.7196
PM4_3340_3341,    1.3886,    1.4850
PM4_3341_4040,    1.3886,    1.4850
PM4_4040_4410,    0.5517,    0.8229
PS2_5550_5560,    0.4403,    0.3534
PS1_4830_5080,    1.0648,    2.2040
PU2_4730_4220,    1.7772,    0.8229
PU2_4050_4180,    4.0000,    0.8229
PS0_6150_6160,    0.8929,    0.8484
PS2_5560_5100,    1.1264,    0.6392
PS3_5100_5080,    1.1264,    0.3573
PU2_2790_3290,    1.5580,    0.8999
PU2_4220_3900,    1.7772,    0.8229
PU0_3601_3602,    1.7772,    0.8229
PS2_6660_6490,    0.8929,    0.2500
PS4_5080_4380,    1.0648,    2.2040
PS3_6460_6230,    0.8929,    0.6412
PU3_2510_3290,    1.5580,    0.8999
PU2_3900_3750,    1.7772,    0.8229
PS3_5990_6161,    0.8929,    0.8484
PS2_6490_6420,    0.8929,    0.2500
PU2_3770_3600,    1.7772,    0.8229
PU2_2840_3080,    1.7772,    0.8229
PU3_3290_3390,    1.5580,    0.8999
PS0_6160_6161,    0.8929,    0.8484
PS2_6420_6360,    0.8929,    0.8453
PU3_3390_3730,    1.7772,    0.8229
PU2_3630_3590,    1.7772,    0.8229
PU2_3080_3640,    1.7772,    0.8229
PU1_3030_3440,    1.7772,    0.8229
PS3_6161_6280,    0.8929,    0.8484
PS3_6280_6230,    0.8929,    0.8453
PS4_6230_6360,    0.8929,    0.8453
PU0_3611_3530,    1.7772,    0.8229
PU2_4340_3860,    0.2774,    0.6817
PU0_3871_3690,    1.4710,    0.8229
PU3_4280_3860,    0.2774,    0.2500
PS4_6360_5840,    0.8929,    0.8453
PS4_5840_5240,    1.0531,    1.4102
PU3_3860_3610,    0.2774,    0.6817
PU1_3100_3690,    1.4710,    0.8229
PS5_5240_5200,    1.0531,    0.2500
PS5_5200_4380,    1.0648,    2.2040
PS5_4380_4370,    1.0648,    2.2040
PU2_3180_3370,    0.7285,    0.8229
PU2_6050_5190,    0.7285,    0.3174
PU2_3370_4020,    0.7285,    0.8229
PS5_4370_4150,    4.0000,    0.8229
PU2_4360_4160,    0.7285,    0.8229
PU0_6080_5620,    0.7285,    0.8229
PU1_3170_3580,    0.7285,    0.8229
PU2_4160_3930,    0.7285,    0.8229
PU2_5190_4310,    0.7285,    0.8229
PU1_5520_5210,    0.7285,    0.8229
PU2_3140_3680,    0.7733,    0.8229
PU1_3580_3780,    0.7285,    0.8229
PU1_3940_3970,    0.3564,    0.8229
PU1_5820_5380,    0.7285,    0.8229
PU0_5620_5380,    0.7285,    0.8229
PU2_5700_5210,    0.7285,    0.8229
PU3_3680_3890,    0.2500,    0.8229
PU1_3850_4190,    3.9532,    0.8229
PU3_5210_5050,    0.7285,    0.8229
PU1_5380_5050,    0.7285,    0.8229
PU4_5050_4310,    0.7285,    0.8229
PU4_4310_4210,    0.7285,    0.8229
PU1_4840_4760,    3.9532,    0.8229
PU1_4190_4300,    3.9532,    0.8229
PU4_4210_4170,    0.7285,    0.8229
PU2_4720_4750,    3.9532,    0.8229
PU1_4760_4450,    3.9532,    0.8229
PU1_4300_4440,    3.9532,    0.8229
PU2_4750_4450,    3.9532,    0.8229
PU3_4450_4440,    3.9532,    0.8229
PU4_4440_3970,    3.2867,    0.8229
PU4_3970_3890,    3.2867,    0.8229
PU4_3890_3990,    0.7285,    0.8229
PU4_3990_3780,    0.7285,    0.8229
PU4_3780_3930,    0.7285,    0.8229
PU5_3930_4170,    0.7285,    0.8229
PU5_4170_4020,    0.7285,    0.8229
PU6_4020_3870,    0.7285,    0.8229
PU6_3870_3690,    1.4710,    0.8229
PU6_3690_3610,    1.4710,    0.8229
PU6_3610_3530,    1.4710,    0.8229
PU6_3530_3440,    1.7772,    0.8229
PU6_3440_3590,    1.7772,    0.8229
PU6_3590_3640,    1.7772,    0.8229
PU6_3640_3600,    1.7772,    0.8229
PU6_3600_3602,    1.7772,    0.8229
PU6_3602_3730,    1.7772,    0.8229
PU6_3730_3750,    1.7772,    0.8229
PU6_3750_3752,    1.7772,    0.8229
PU6_3752_4080,    1.7772,    0.8229
PU6_4080_4180,    4.0000,    0.8229
PU6_4180_4150,    4.0000,    0.8229
PM7_4150_4290,    4.0000,    0.8229
PM7_4290_4200,    4.0000,    0.8229
PM7_4200_4410,    0.5517,    0.8229
PM7_4410_4620,    0.5517,    0.8229
PM7_4620_4580,    0.5517,    0.8229
PM7_4580_4820,    0.5517,    0.8229
PM7_4820_0001,    0.5517,    0.8229
