 seg ,TOTN,TOTP
SL3_2460_2430,    1.0284,    1.0292
SL3_2420_2700,    0.9922,    0.9900
SL3_2730_2550,    1.0858,    1.0104
SL3_2290_2260,    1.1016,    1.0221
SL4_2140_2240,    1.0292,    0.9588
SL0_2721_2720,    2.4255,    0.2500
SL2_2750_2720,    2.4255,    0.2500
SL2_2410_2700,    2.4255,    0.2500
SL2_2300_2520,    2.4255,    0.2500
SL3_2400_2440,    2.4255,    0.2500
SL3_2440_2380,    2.4255,    0.2500
SL3_2550_2490,    2.4255,    0.2500
SL3_1960_2080,    2.4255,    0.2500
SL4_2370_2330,    0.9964,    0.9945
SL4_2330_2270,    2.4255,    0.2500
SL3_2260_2050,    2.4255,    0.2500
SL2_1810_2030,    2.4255,    0.2500
SL2_1670_1880,    2.4255,    0.2500
SL1_1790_1840,    2.4255,    0.2500
SL1_1730_1700,    2.4255,    0.2500
SL4_2240_2310,    2.4255,    0.2500
SL3_1710_1740,    2.4255,    0.5770
SL3_1740_1840,    2.4255,    0.2500
SL1_1700_1780,    2.4255,    0.2500
SL3_1840_1880,    2.4255,    0.2500
SW1_1450_1510,    2.4255,    0.2500
SW1_1510_1680,    2.4255,    0.2500
SJ6_2130_2050,    2.4255,    0.2500
SW7_1640_1680,    2.4255,    0.2500
SW7_1680_1760,    2.4255,    0.2500
SU8_1610_1530,    0.9980,    1.0377
SU8_1530_1760,    2.4255,    0.2500
SL8_1760_1780,    2.4255,    0.2500
SL8_1780_1880,    2.4255,    0.2500
SL8_1880_2030,    2.4255,    0.2500
SL8_2030_2080,    2.4255,    0.2500
SL8_2080_2050,    2.4255,    0.2500
SL9_2050_2270,    2.4255,    0.2500
SL9_2270_2380,    2.4255,    0.2500
SL9_2380_2310,    2.4255,    0.2500
SL9_2310_2430,    2.4255,    0.2500
SL9_2430_2490,    2.4255,    0.2500
SL9_2490_2520,    2.4255,    0.2500
SL9_2520_2700,    2.4255,    0.2500
SL9_2700_2720,    2.4255,    0.2500
SL9_2720_0001,    2.4255,    0.2500
