TABLE->,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,1.451249,0.315301,0,0.145127,1.451249,0.500000,0.000316,0.535749
A10003,1,0,0,1,0,1,0,1,0,0.822353,0.178666,0,0.082237,0.822353,0.500000,0.000178,0.540216
A10005,1,0,0,1,0,1,0,1,0,1.484614,0.322550,0,0.148464,1.484614,0.500000,0.000323,0.387673
A11001,1,0,0,1,0,1,0,1,0,1.041458,0.226269,0,0.104147,1.041458,0.500000,0.000227,0.680737
A24001,1,0,0,1,0,1,0,1,0,0.688508,0.149587,0,0.068852,0.688508,0.500000,0.000150,1.240449
A24003,1,0,0,1,0,1,0,1,0,0.819628,0.178074,0,0.081964,0.819628,0.500000,0.000178,0.566177
A24005,1,0,0,1,0,1,0,1,0,1.065499,0.231493,0,0.106551,1.065499,0.500000,0.000232,0.424202
A24009,1,0,0,1,0,1,0,1,0,0.922839,0.200498,0,0.092285,0.922839,0.500000,0.000200,0.589060
A24011,1,0,0,1,0,1,0,1,0,1.028012,0.223348,0,0.102802,1.028012,0.500000,0.000224,0.617571
A24013,1,0,0,1,0,1,0,1,0,0.848147,0.184270,0,0.084816,0.848147,0.500000,0.000184,0.635806
A24015,1,0,0,1,0,1,0,1,0,0.980943,0.213122,0,0.098095,0.980943,0.500000,0.000214,0.572707
A24017,1,0,0,1,0,1,0,1,0,1.067906,0.232015,0,0.106792,1.067906,0.500000,0.000232,0.828007
A24019,1,0,0,1,0,1,0,1,0,0.897769,0.195051,0,0.089778,0.897769,0.500000,0.000195,0.720339
A24021,1,0,0,1,0,1,0,1,0,0.769856,0.167260,0,0.076986,0.769856,0.500000,0.000167,0.651447
A24023,1,0,0,1,0,1,0,1,0,0.814848,0.177036,0,0.081486,0.814848,0.500000,0.000177,0.504205
A24025,1,0,0,1,0,1,0,1,0,1.080662,0.234786,0,0.108067,1.080662,0.500000,0.000235,0.433994
A24027,1,0,0,1,0,1,0,1,0,0.618182,0.134307,0,0.061819,0.618182,0.500000,0.000134,0.523079
A24029,1,0,0,1,0,1,0,1,0,0.881832,0.191589,0,0.088184,0.881832,0.500000,0.000191,0.527069
A24031,1,0,0,1,0,1,0,1,0,1.011094,0.219672,0,0.101111,1.011094,0.500000,0.000220,0.534768
A24033,1,0,0,1,0,1,0,1,0,0.579819,0.125973,0,0.057983,0.579819,0.500000,0.000126,0.664768
A24035,1,0,0,1,0,1,0,1,0,1.564917,0.339997,0,0.156494,1.564917,0.500000,0.000340,0.489129
A24037,1,0,0,1,0,1,0,1,0,0.840312,0.182568,0,0.084032,0.840312,0.500000,0.000183,0.852861
A24039,1,0,0,1,0,1,0,1,0,0.865873,0.188121,0,0.086589,0.865873,0.500000,0.000188,0.744962
A24041,1,0,0,1,0,1,0,1,0,1.048371,0.227771,0,0.104838,1.048371,0.500000,0.000228,0.595567
A24043,1,0,0,1,0,1,0,1,0,1.249786,0.271531,0,0.124980,1.249786,0.500000,0.000271,0.348302
A24045,1,0,0,1,0,1,0,1,0,0.966925,0.210076,0,0.096693,0.966925,0.500000,0.000210,0.756492
A24047,1,0,0,1,0,1,0,1,0,0.939325,0.204079,0,0.093934,0.939325,0.500000,0.000205,0.736293
A24510,1,0,0,1,0,1,0,1,0,1.005752,0.218512,0,0.100577,1.005752,0.500000,0.000219,0.461069
A36003,1,0,0,1,0,1,0,1,0,0.701186,0.152341,0,0.070120,0.701186,0.500000,0.000152,1.019007
A36007,1,0,0,1,0,1,0,1,0,0.875404,0.190192,0,0.087541,0.875404,0.500000,0.000190,0.600370
A36015,1,0,0,1,0,1,0,1,0,0.673989,0.146432,0,0.067400,0.673989,0.500000,0.000146,1.069493
A36017,1,0,0,1,0,1,0,1,0,0.830215,0.180374,0,0.083022,0.830215,0.500000,0.000180,0.491287
A36023,1,0,0,1,0,1,0,1,0,0.946719,0.205686,0,0.094673,0.946719,0.500000,0.000206,0.438883
A36025,1,0,0,1,0,1,0,1,0,1.059952,0.230287,0,0.105996,1.059952,0.500000,0.000231,0.552987
A36043,1,0,0,1,0,1,0,1,0,1.026560,0.223032,0,0.102657,1.026560,0.500000,0.000223,0.480593
A36051,1,0,0,1,0,1,0,1,0,1.150520,0.249964,0,0.115054,1.150520,0.500000,0.000250,0.694286
A36053,1,0,0,1,0,1,0,1,0,1.335127,0.290073,0,0.133514,1.335127,0.500000,0.000290,0.406248
A36065,1,0,0,1,0,1,0,1,0,1.266324,0.275124,0,0.126634,1.266324,0.500000,0.000275,0.425090
A36067,1,0,0,1,0,1,0,1,0,1.179801,0.256326,0,0.117981,1.179801,0.500000,0.000256,0.394732
A36069,1,0,0,1,0,1,0,1,0,1.069909,0.232451,0,0.106992,1.069909,0.500000,0.000233,0.711301
A36077,1,0,0,1,0,1,0,1,0,0.663678,0.144192,0,0.066368,0.663678,0.500000,0.000144,0.509691
A36095,1,0,0,1,0,1,0,1,0,1.225759,0.266311,0,0.122577,1.225759,0.500000,0.000266,0.469920
A36097,1,0,0,1,0,1,0,1,0,1.061498,0.230622,0,0.106151,1.061498,0.500000,0.000231,0.765599
A36101,1,0,0,1,0,1,0,1,0,1.202147,0.261181,0,0.120216,1.202147,0.500000,0.000261,0.819721
A36107,1,0,0,1,0,1,0,1,0,0.716285,0.155621,0,0.071629,0.716285,0.500000,0.000156,0.767507
A36109,1,0,0,1,0,1,0,1,0,0.720757,0.156593,0,0.072076,0.720757,0.500000,0.000157,0.764512
A36123,1,0,0,1,0,1,0,1,0,1.172249,0.254685,0,0.117226,1.172249,0.500000,0.000255,0.715965
A37001,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37005,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37009,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37033,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37067,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37077,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37081,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37131,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37135,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37145,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37157,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37169,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37171,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37181,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37185,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37189,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A42001,1,0,0,1,0,1,0,1,0,0.687726,0.149417,0,0.068774,0.687726,0.500000,0.000149,1.132934
A42009,1,0,0,1,0,1,0,1,0,0.822527,0.178703,0,0.082254,0.822527,0.500000,0.000178,0.640753
A42011,1,0,0,1,0,1,0,1,0,0.602898,0.130987,0,0.060290,0.602898,0.500000,0.000131,0.655109
A42013,1,0,0,1,0,1,0,1,0,0.917412,0.199319,0,0.091742,0.917412,0.500000,0.000199,0.542171
A42015,1,0,0,1,0,1,0,1,0,0.758367,0.164764,0,0.075837,0.758367,0.500000,0.000165,0.784942
A42021,1,0,0,1,0,1,0,1,0,1.028190,0.223386,0,0.102820,1.028190,0.500000,0.000224,0.491952
A42023,1,0,0,1,0,1,0,1,0,0.803669,0.174606,0,0.080368,0.803669,0.500000,0.000174,0.578558
A42025,1,0,0,1,0,1,0,1,0,0.607834,0.132059,0,0.060784,0.607834,0.500000,0.000132,0.713961
A42027,1,0,0,1,0,1,0,1,0,1.272421,0.276449,0,0.127244,1.272421,0.500000,0.000276,0.387164
A42029,1,0,0,1,0,1,0,1,0,0.852456,0.185206,0,0.085246,0.852456,0.500000,0.000185,0.535044
A42033,1,0,0,1,0,1,0,1,0,0.501407,0.108937,0,0.050141,0.501407,0.500000,0.000109,0.440376
A42035,1,0,0,1,0,1,0,1,0,1.022938,0.222245,0,0.102295,1.022938,0.500000,0.000223,0.447104
A42037,1,0,0,1,0,1,0,1,0,0.915580,0.198921,0,0.091559,0.915580,0.500000,0.000198,0.518693
A42041,1,0,0,1,0,1,0,1,0,0.904898,0.196599,0,0.090491,0.904898,0.500000,0.000196,0.548300
A42043,1,0,0,1,0,1,0,1,0,0.759351,0.164978,0,0.075936,0.759351,0.500000,0.000165,0.725116
A42047,1,0,0,1,0,1,0,1,0,0.876574,0.190446,0,0.087658,0.876574,0.500000,0.000190,0.571680
A42055,1,0,0,1,0,1,0,1,0,1.276257,0.277282,0,0.127627,1.276257,0.500000,0.000277,0.441801
