seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51775,1984,  38.8136,   2.1641,   2.2590,   6.4347,   0.6407,   0.4454,   0.4120,   0.1392
A51775,1985,  44.4625,   2.5417,   2.0179,   6.3462,   0.6396,   0.4905,   0.4537,   0.1533
A51775,1986,  34.3701,   2.5782,   2.1286,   6.2576,   0.6385,   0.3710,   0.3431,   0.1159
A51775,1987,  45.3581,   2.2747,   1.9125,   6.1691,   0.6373,   0.5280,   0.4884,   0.1650
A51775,1988,  29.7916,   1.9635,   1.6640,   6.0806,   0.6362,   0.3523,   0.3259,   0.1101
A51775,1989,  49.9547,   2.8070,   2.8387,   5.9920,   0.6351,   0.5926,   0.5482,   0.1852
A51775,1990,  42.9506,   2.0557,   2.3736,   5.9035,   0.6339,   0.4805,   0.4445,   0.1502
A51775,1991,  35.2456,   1.8627,   1.6862,   5.8150,   0.6328,   0.3981,   0.3683,   0.1244
A51775,1992,  45.6344,   2.3835,   2.1610,   5.7264,   0.6317,   0.5677,   0.5251,   0.1774
A51775,1993,  44.4536,   2.4097,   2.0674,   5.6379,   0.6306,   0.4922,   0.4553,   0.1538
A51775,1994,  42.5933,   2.2711,   2.6488,   5.5494,   0.6294,   0.4643,   0.4295,   0.1451
A51775,1995,  39.9220,   2.0978,   2.1858,   5.4609,   0.6283,   0.4929,   0.4559,   0.1540
A51775,1996,  51.8582,   2.7210,   2.6735,   5.3723,   0.6272,   0.5725,   0.5296,   0.1789
A51775,1997,  32.4715,   1.9666,   1.8006,   5.2838,   0.6261,   0.3758,   0.3476,   0.1174
A51775,1998,  44.4008,   2.2172,   2.3564,   5.1953,   0.6249,   0.5275,   0.4879,   0.1648
A51775,1999,  34.4246,   1.7586,   1.6729,   5.1068,   0.6238,   0.3691,   0.3414,   0.1153
A51775,2000,  37.7074,   2.1434,   2.4337,   5.0182,   0.6227,   0.4609,   0.4263,   0.1440
A51775,2001,  29.2482,   1.5752,   1.7023,   4.9297,   0.6216,   0.3547,   0.3281,   0.1108
A51775,2002,  37.5407,   1.6338,   1.7753,   4.8412,   0.6204,   0.4205,   0.3890,   0.1314
A51775,2003,  53.6524,   2.1766,   2.7359,   4.7526,   0.6193,   0.6660,   0.6161,   0.2081
A51775,2004,  48.2771,   1.8469,   2.1226,   4.6641,   0.6182,   0.5577,   0.5159,   0.1743
A51775,2005,  35.7591,   1.5512,   1.8152,   4.5756,   0.6170,   0.3932,   0.3637,   0.1229
