seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B51171,1984,  41.2760,   3.0058,   1.5472,   7.0322,   2.4082,   0.4569,   0.4227,   0.1428
B51171,1985,  40.5177,   3.0182,   1.3532,   6.8969,   2.4020,   0.4439,   0.4106,   0.1387
B51171,1986,  32.7570,   3.5304,   1.6918,   6.7616,   2.3959,   0.3632,   0.3360,   0.1135
B51171,1987,  40.0429,   3.2738,   1.6037,   6.6262,   2.3898,   0.4817,   0.4456,   0.1505
B51171,1988,  30.8124,   2.7048,   1.3855,   6.4909,   2.3837,   0.3810,   0.3525,   0.1191
B51171,1989,  41.7422,   3.0397,   2.0003,   6.3555,   2.3776,   0.4981,   0.4607,   0.1556
B51171,1990,  38.7041,   2.3255,   1.5479,   6.2202,   2.3715,   0.4257,   0.3938,   0.1330
B51171,1991,  32.3124,   2.1969,   1.3628,   6.0849,   2.3653,   0.3607,   0.3337,   0.1127
B51171,1992,  38.2827,   2.3635,   1.4613,   5.9495,   2.3592,   0.4416,   0.4085,   0.1380
B51171,1993,  42.5344,   2.7764,   1.7231,   5.8142,   2.3531,   0.4775,   0.4417,   0.1492
B51171,1994,  43.5727,   2.7895,   1.8582,   5.6789,   2.3470,   0.4862,   0.4498,   0.1520
B51171,1995,  38.3902,   2.6334,   1.6673,   5.5435,   2.3409,   0.4566,   0.4224,   0.1427
B51171,1996,  60.3564,   4.0274,   2.2060,   5.4082,   2.3348,   0.6752,   0.6246,   0.2110
B51171,1997,  35.4360,   2.2798,   1.3214,   5.2729,   2.3286,   0.3948,   0.3652,   0.1234
B51171,1998,  38.1455,   2.3232,   1.5169,   5.1376,   2.3225,   0.4731,   0.4376,   0.1478
B51171,1999,  33.4282,   1.8914,   1.2041,   5.0022,   2.3164,   0.3501,   0.3238,   0.1094
B51171,2000,  38.1781,   2.1601,   1.3834,   4.8669,   2.3103,   0.4397,   0.4067,   0.1374
B51171,2001,  32.9591,   2.1236,   1.5117,   4.7316,   2.3042,   0.3994,   0.3694,   0.1248
B51171,2002,  43.8297,   2.5475,   1.9002,   4.5962,   2.2981,   0.5290,   0.4893,   0.1653
B51171,2003,  57.5067,   2.5379,   1.9534,   4.4609,   2.2919,   0.6717,   0.6213,   0.2099
B51171,2004,  42.9614,   1.9420,   1.7003,   4.3256,   2.2858,   0.5138,   0.4752,   0.1606
B51171,2005,  34.9571,   1.7193,   1.5003,   4.1902,   2.2797,   0.3957,   0.3660,   0.1236
