seg,year,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
C51071,1984,  38.1128,   2.0271,   1.3455,   6.5048,   0.5044,   0.4549,   0.4208,   0.1421
C51071,1985,  35.8654,   2.2528,   1.0567,   6.4029,   0.5035,   0.3988,   0.3689,   0.1246
C51071,1986,  35.0746,   2.7660,   1.3997,   6.3011,   0.5027,   0.3842,   0.3554,   0.1201
C51071,1987,  36.7188,   2.1100,   1.1507,   6.1992,   0.5018,   0.4372,   0.4044,   0.1366
C51071,1988,  27.2362,   1.7426,   0.9473,   6.0974,   0.5009,   0.3119,   0.2885,   0.0975
C51071,1989,  46.2216,   2.8173,   1.7900,   5.9956,   0.5000,   0.5375,   0.4972,   0.1680
C51071,1990,  40.9742,   2.0265,   1.5410,   5.8937,   0.4991,   0.4523,   0.4184,   0.1413
C51071,1991,  35.3824,   1.8536,   1.0379,   5.7919,   0.4983,   0.4064,   0.3759,   0.1270
C51071,1992,  39.3336,   2.2999,   1.2192,   5.6901,   0.4974,   0.4856,   0.4492,   0.1518
C51071,1993,  40.3036,   2.4196,   1.2595,   5.5882,   0.4965,   0.4493,   0.4156,   0.1404
C51071,1994,  36.7290,   1.9901,   1.4734,   5.4864,   0.4956,   0.4170,   0.3857,   0.1303
C51071,1995,  40.3887,   2.2351,   1.4121,   5.3846,   0.4947,   0.4952,   0.4580,   0.1547
C51071,1996,  44.1758,   2.4696,   1.5381,   5.2827,   0.4938,   0.4920,   0.4551,   0.1538
C51071,1997,  29.5015,   1.8570,   1.0427,   5.1809,   0.4930,   0.3376,   0.3122,   0.1055
C51071,1998,  39.0742,   2.0413,   1.3990,   5.0791,   0.4921,   0.4876,   0.4511,   0.1524
C51071,1999,  35.1253,   1.8660,   1.1065,   4.9772,   0.4912,   0.3940,   0.3644,   0.1231
C51071,2000,  33.1676,   1.8851,   1.3978,   4.8754,   0.4903,   0.4021,   0.3719,   0.1256
C51071,2001,  36.9391,   1.8769,   1.3511,   4.7735,   0.4894,   0.4580,   0.4236,   0.1431
C51071,2002,  42.0658,   1.7759,   1.2370,   4.6717,   0.4886,   0.4730,   0.4375,   0.1478
C51071,2003,  53.5751,   2.1547,   1.7297,   4.5699,   0.4877,   0.6382,   0.5903,   0.1994
C51071,2004,  46.7188,   1.6930,   1.2470,   4.4681,   0.4868,   0.5619,   0.5198,   0.1756
C51071,2005,  33.8806,   1.6958,   1.2584,   4.3662,   0.4859,   0.3830,   0.3542,   0.1197
