seg,year,month,day,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A51775,1984,   1,   1,   0.0000,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,   2,   0.0001,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,   3,   0.0000,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,   4,   0.0000,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,   5,   0.0000,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,   6,   0.0165,   0.0009,   0.0013,   0.0137,   0.0009,   0.0001,   0.0001,   0.0000
A51775,1984,   1,   7,   0.0250,   0.0015,   0.0021,   0.0137,   0.0009,   0.0002,   0.0002,   0.0001
A51775,1984,   1,   8,   0.0000,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,   9,   0.0000,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,  10,   0.1323,   0.0070,   0.0076,   0.0137,   0.0009,   0.0012,   0.0011,   0.0004
A51775,1984,   1,  11,   0.3085,   0.0162,   0.0098,   0.0137,   0.0009,   0.0028,   0.0026,   0.0009
A51775,1984,   1,  12,   0.0000,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,  13,   0.0360,   0.0005,   0.0000,   0.0137,   0.0009,   0.0003,   0.0003,   0.0001
A51775,1984,   1,  14,   0.0433,   0.0017,   0.0010,   0.0137,   0.0009,   0.0004,   0.0004,   0.0001
A51775,1984,   1,  15,   0.0000,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,  16,   0.0599,   0.0034,   0.0023,   0.0137,   0.0009,   0.0005,   0.0005,   0.0002
A51775,1984,   1,  17,   0.0127,   0.0009,   0.0007,   0.0137,   0.0009,   0.0001,   0.0001,   0.0000
A51775,1984,   1,  18,   0.4405,   0.0456,   0.0370,   0.0137,   0.0009,   0.0040,   0.0037,   0.0012
A51775,1984,   1,  19,   0.1380,   0.0095,   0.0054,   0.0137,   0.0009,   0.0013,   0.0012,   0.0004
A51775,1984,   1,  20,   0.0000,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,  21,   0.0000,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,  22,   0.0000,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,  23,   0.0000,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,  24,   0.1243,   0.0061,   0.0042,   0.0137,   0.0009,   0.0011,   0.0010,   0.0004
A51775,1984,   1,  25,   0.0376,   0.0016,   0.0014,   0.0137,   0.0009,   0.0003,   0.0003,   0.0001
A51775,1984,   1,  26,   0.0000,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,  27,   0.0000,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,  28,   0.0001,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,  29,   0.0006,   0.0000,   0.0000,   0.0137,   0.0009,   0.0000,   0.0000,   0.0000
A51775,1984,   1,  30,   0.0256,   0.0015,   0.0014,   0.0137,   0.0009,   0.0002,   0.0002,   0.0001
A51775,1984,   1,  31,   0.0593,   0.0053,   0.0068,   0.0137,   0.0009,   0.0005,   0.0005,   0.0002
A51775,1984,   2,   1,   0.0034,   0.0001,   0.0000,   0.0151,   0.0010,   0.0000,   0.0000,   0.0000
A51775,1984,   2,   2,   0.0000,   0.0000,   0.0000,   0.0151,   0.0010,   0.0000,   0.0000,   0.0000
A51775,1984,   2,   3,   0.0308,   0.0006,   0.0001,   0.0151,   0.0010,   0.0003,   0.0003,   0.0001
A51775,1984,   2,   4,   0.0600,   0.0041,   0.0047,   0.0151,   0.0010,   0.0005,   0.0005,   0.0002
A51775,1984,   2,   5,   0.0142,   0.0008,   0.0010,   0.0151,   0.0010,   0.0001,   0.0001,   0.0000
A51775,1984,   2,   6,   0.0057,   0.0004,   0.0006,   0.0151,   0.0010,   0.0001,   0.0000,   0.0000
A51775,1984,   2,   7,   0.0006,   0.0000,   0.0000,   0.0151,   0.0010,   0.0000,   0.0000,   0.0000
A51775,1984,   2,   8,   0.0000,   0.0000,   0.0000,   0.0151,   0.0010,   0.0000,   0.0000,   0.0000
A51775,1984,   2,   9,   0.0000,   0.0000,   0.0000,   0.0151,   0.0010,   0.0000,   0.0000,   0.0000
A51775,1984,   2,  10,   0.0000,   0.0000,   0.0000,   0.0151,   0.0010,   0.0000,   0.0000,   0.0000
A51775,1984,   2,  11,   0.0404,   0.0028,   0.0043,   0.0151,   0.0010,   0.0004,   0.0003,   0.0001
A51775,1984,   2,  12,   0.0063,   0.0003,   0.0005,   0.0151,   0.0010,   0.0001,   0.0001,   0.0000
A51775,1984,   2,  13,   0.5984,   0.0393,   0.0495,   0.0151,   0.0010,   0.0054,   0.0050,   0.0017
A51775,1984,   2,  14,   1.5435,   0.0345,   0.0627,   0.0151,   0.0010,   0.0140,   0.0129,   0.0044
A51775,1984,   2,  15,   0.0840,   0.0019,   0.0018,   0.0151,   0.0010,   0.0008,   0.0007,   0.0002
A51775,1984,   2,  16,   0.0689,   0.0004,   0.0000,   0.0151,   0.0010,   0.0006,   0.0006,   0.0002
A51775,1984,   2,  17,   0.0000,   0.0000,   0.0000,   0.0151,   0.0010,   0.0000,   0.0000,   0.0000
A51775,1984,   2,  18,   0.0000,   0.0000,   0.0000,   0.0151,   0.0010,   0.0000,   0.0000,   0.0000
A51775,1984,   2,  19,   0.0208,   0.0005,   0.0005,   0.0151,   0.0010,   0.0002,   0.0002,   0.0001
A51775,1984,   2,  20,   0.0977,   0.0022,   0.0027,   0.0151,   0.0010,   0.0009,   0.0008,   0.0003
A51775,1984,   2,  21,   0.0000,   0.0000,   0.0000,   0.0151,   0.0010,   0.0000,   0.0000,   0.0000
A51775,1984,   2,  22,   0.0000,   0.0000,   0.0000,   0.0151,   0.0010,   0.0000,   0.0000,   0.0000
A51775,1984,   2,  23,   0.8061,   0.0342,   0.0284,   0.0151,   0.0010,   0.0073,   0.0068,   0.0023
A51775,1984,   2,  24,   0.8503,   0.0141,   0.0107,   0.0151,   0.0010,   0.0077,   0.0071,   0.0024
A51775,1984,   2,  25,   0.0042,   0.0000,   0.0000,   0.0151,   0.0010,   0.0000,   0.0000,   0.0000
A51775,1984,   2,  26,   0.0000,   0.0000,   0.0000,   0.0151,   0.0010,   0.0000,   0.0000,   0.0000
A51775,1984,   2,  27,   0.1041,   0.0025,   0.0022,   0.0151,   0.0010,   0.0009,   0.0009,   0.0003
A51775,1984,   2,  28,   0.2310,   0.0043,   0.0025,   0.0151,   0.0010,   0.0021,   0.0019,   0.0007
A51775,1984,   2,  29,   0.0636,   0.0012,   0.0011,   0.0151,   0.0010,   0.0006,   0.0005,   0.0002
