seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A42079,1984,   1,   1.4568,   0.1505,   0.0712,   0.6303,   0.0256,   0.0132,   0.0122,   0.0041
A42079,1984,   2,   3.5759,   0.2214,   0.0993,   0.5883,   0.0381,   0.0324,   0.0300,   0.0101
A42079,1984,   3,   3.3340,   0.3120,   0.1554,   0.8105,   0.0702,   0.0302,   0.0280,   0.0094
A42079,1984,   4,   4.6655,   0.4230,   0.2638,   0.6345,   0.0753,   0.0846,   0.0782,   0.0264
A42079,1984,   5,   7.4242,   0.7327,   0.5784,   0.7217,   0.0742,   0.1346,   0.1245,   0.0421
A42079,1984,   6,   4.8486,   0.4979,   0.4555,   0.8866,   0.1530,   0.0879,   0.0813,   0.0275
A42079,1984,   7,   6.1186,   0.5833,   0.2986,   0.7332,   0.1549,   0.0555,   0.0513,   0.0173
A42079,1984,   8,   3.5676,   0.4612,   0.2293,   0.6691,   0.1029,   0.0323,   0.0299,   0.0101
A42079,1984,   9,   0.8863,   0.1038,   0.0753,   0.6790,   0.0741,   0.0080,   0.0074,   0.0025
A42079,1984,  10,   2.5297,   0.2558,   0.1761,   0.6516,   0.0641,   0.0229,   0.0212,   0.0072
A42079,1984,  11,   3.6459,   0.1971,   0.1071,   0.5940,   0.0547,   0.0330,   0.0306,   0.0103
A42079,1984,  12,   2.9189,   0.2336,   0.0933,   0.5078,   0.0204,   0.0265,   0.0245,   0.0083
A42079,1985,   1,   0.8721,   0.0838,   0.0383,   0.6182,   0.0255,   0.0079,   0.0073,   0.0025
A42079,1985,   2,   2.0283,   0.1459,   0.0447,   0.5771,   0.0379,   0.0184,   0.0170,   0.0057
A42079,1985,   3,   2.0464,   0.2640,   0.1668,   0.7949,   0.0699,   0.0185,   0.0172,   0.0058
A42079,1985,   4,   2.0069,   0.2678,   0.2108,   0.6224,   0.0749,   0.0364,   0.0337,   0.0114
A42079,1985,   5,   5.0412,   0.4689,   0.3827,   0.7079,   0.0738,   0.0914,   0.0845,   0.0286
A42079,1985,   6,   5.0234,   0.5218,   0.4207,   0.8696,   0.1523,   0.0911,   0.0842,   0.0285
A42079,1985,   7,   5.2318,   0.5736,   0.3039,   0.7191,   0.1541,   0.0474,   0.0439,   0.0148
A42079,1985,   8,   4.6745,   0.5270,   0.2835,   0.6563,   0.1024,   0.0424,   0.0392,   0.0132
A42079,1985,   9,   6.8969,   0.2951,   0.1286,   0.6660,   0.0737,   0.0625,   0.0578,   0.0195
A42079,1985,  10,   1.9977,   0.1724,   0.0948,   0.6391,   0.0638,   0.0181,   0.0168,   0.0057
A42079,1985,  11,   6.0757,   0.3516,   0.1629,   0.5826,   0.0544,   0.0551,   0.0509,   0.0172
A42079,1985,  12,   2.4983,   0.2136,   0.0870,   0.4981,   0.0203,   0.0226,   0.0209,   0.0071
A42079,1986,   1,   3.0544,   0.2013,   0.0773,   0.6062,   0.0254,   0.0277,   0.0256,   0.0087
A42079,1986,   2,   3.7673,   0.3318,   0.1220,   0.5658,   0.0377,   0.0341,   0.0316,   0.0107
A42079,1986,   3,   3.9143,   0.3092,   0.1819,   0.7794,   0.0695,   0.0355,   0.0328,   0.0111
A42079,1986,   4,   3.8020,   0.3640,   0.2567,   0.6102,   0.0745,   0.0689,   0.0638,   0.0215
A42079,1986,   5,   3.0384,   0.2724,   0.2717,   0.6941,   0.0734,   0.0551,   0.0510,   0.0172
A42079,1986,   6,   5.6608,   0.6207,   0.4733,   0.8526,   0.1515,   0.1026,   0.0949,   0.0321
A42079,1986,   7,   5.4397,   0.6237,   0.3318,   0.7050,   0.1533,   0.0493,   0.0456,   0.0154
A42079,1986,   8,   3.9255,   0.4565,   0.1972,   0.6434,   0.1018,   0.0356,   0.0329,   0.0111
A42079,1986,   9,   2.6348,   0.3617,   0.1906,   0.6530,   0.0734,   0.0239,   0.0221,   0.0075
A42079,1986,  10,   2.7417,   0.2840,   0.1658,   0.6266,   0.0634,   0.0249,   0.0230,   0.0078
A42079,1986,  11,   4.9292,   0.3577,   0.1602,   0.5712,   0.0542,   0.0447,   0.0413,   0.0140
A42079,1986,  12,   2.9782,   0.2119,   0.0718,   0.4883,   0.0202,   0.0270,   0.0250,   0.0084
A42079,1987,   1,   3.1218,   0.2384,   0.0826,   0.5941,   0.0252,   0.0283,   0.0262,   0.0088
A42079,1987,   2,   0.6657,   0.0647,   0.0265,   0.5545,   0.0375,   0.0060,   0.0056,   0.0019
A42079,1987,   3,   1.5050,   0.1523,   0.0720,   0.7638,   0.0691,   0.0136,   0.0126,   0.0043
A42079,1987,   4,   5.1931,   0.4986,   0.3135,   0.5980,   0.0741,   0.0941,   0.0871,   0.0294
A42079,1987,   5,   2.2974,   0.2549,   0.1702,   0.6802,   0.0730,   0.0417,   0.0385,   0.0130
A42079,1987,   6,   3.3458,   0.5117,   0.4210,   0.8356,   0.1507,   0.0607,   0.0561,   0.0190
A42079,1987,   7,   7.0851,   0.7602,   0.4229,   0.6910,   0.1525,   0.0642,   0.0594,   0.0201
A42079,1987,   8,   4.6210,   0.5557,   0.3041,   0.6306,   0.1013,   0.0419,   0.0387,   0.0131
A42079,1987,   9,   9.1427,   0.4446,   0.1820,   0.6400,   0.0730,   0.0829,   0.0767,   0.0259
A42079,1987,  10,   3.2648,   0.2847,   0.1554,   0.6141,   0.0631,   0.0296,   0.0274,   0.0092
A42079,1987,  11,   2.8172,   0.1625,   0.1035,   0.5598,   0.0539,   0.0255,   0.0236,   0.0080
A42079,1987,  12,   1.3804,   0.1259,   0.0559,   0.4786,   0.0201,   0.0125,   0.0116,   0.0039
A42079,1988,   1,   1.8138,   0.1497,   0.0567,   0.5820,   0.0251,   0.0164,   0.0152,   0.0051
A42079,1988,   2,   2.5618,   0.2284,   0.1010,   0.5432,   0.0373,   0.0232,   0.0215,   0.0073
A42079,1988,   3,   2.1725,   0.2694,   0.1761,   0.7483,   0.0688,   0.0197,   0.0182,   0.0062
A42079,1988,   4,   2.8821,   0.4244,   0.3336,   0.5859,   0.0737,   0.0523,   0.0483,   0.0163
A42079,1988,   5,   5.4087,   0.4995,   0.2772,   0.6664,   0.0726,   0.0981,   0.0907,   0.0306
A42079,1988,   6,   1.2994,   0.1095,   0.1086,   0.8186,   0.1499,   0.0236,   0.0218,   0.0074
A42079,1988,   7,   8.4804,   0.6930,   0.3409,   0.6769,   0.1517,   0.0769,   0.0711,   0.0240
A42079,1988,   8,   4.6697,   0.4607,   0.2249,   0.6178,   0.1008,   0.0423,   0.0392,   0.0132
A42079,1988,   9,   3.1015,   0.2055,   0.1090,   0.6270,   0.0726,   0.0281,   0.0260,   0.0088
A42079,1988,  10,   2.3867,   0.1659,   0.0814,   0.6016,   0.0628,   0.0216,   0.0200,   0.0068
A42079,1988,  11,   3.9564,   0.2494,   0.1283,   0.5484,   0.0536,   0.0359,   0.0332,   0.0112
A42079,1988,  12,   1.1429,   0.0818,   0.0351,   0.4689,   0.0200,   0.0104,   0.0096,   0.0032
A42079,1989,   1,   1.5017,   0.1272,   0.0567,   0.5699,   0.0250,   0.0136,   0.0126,   0.0043
A42079,1989,   2,   2.2050,   0.1845,   0.0906,   0.5319,   0.0371,   0.0200,   0.0185,   0.0062
A42079,1989,   3,   2.4571,   0.2475,   0.1522,   0.7327,   0.0684,   0.0223,   0.0206,   0.0070
A42079,1989,   4,   1.3556,   0.2027,   0.1715,   0.5737,   0.0733,   0.0246,   0.0227,   0.0077
A42079,1989,   5,   9.6701,   0.7505,   0.5547,   0.6525,   0.0723,   0.1753,   0.1622,   0.0548
A42079,1989,   6,   7.4875,   0.6945,   0.5046,   0.8016,   0.1491,   0.1357,   0.1256,   0.0424
A42079,1989,   7,   3.8121,   0.3962,   0.2069,   0.6629,   0.1509,   0.0346,   0.0320,   0.0108
A42079,1989,   8,   3.0325,   0.3605,   0.1922,   0.6049,   0.1002,   0.0275,   0.0254,   0.0086
A42079,1989,   9,   4.3525,   0.2629,   0.1323,   0.6139,   0.0722,   0.0395,   0.0365,   0.0123
A42079,1989,  10,   5.3343,   0.2528,   0.1677,   0.5891,   0.0624,   0.0484,   0.0447,   0.0151
A42079,1989,  11,   4.0200,   0.2569,   0.1919,   0.5370,   0.0533,   0.0364,   0.0337,   0.0114
A42079,1989,  12,   0.8258,   0.1017,   0.0449,   0.4591,   0.0199,   0.0075,   0.0069,   0.0023
A42079,1990,   1,   4.5945,   0.3132,   0.1812,   0.5578,   0.0248,   0.0416,   0.0385,   0.0130
A42079,1990,   2,   2.7928,   0.2385,   0.1682,   0.5207,   0.0369,   0.0253,   0.0234,   0.0079
A42079,1990,   3,   2.0060,   0.2364,   0.1670,   0.7172,   0.0681,   0.0182,   0.0168,   0.0057
A42079,1990,   4,   2.8211,   0.3591,   0.2849,   0.5615,   0.0730,   0.0511,   0.0473,   0.0160
A42079,1990,   5,   7.6134,   0.5740,   0.4902,   0.6387,   0.0719,   0.1380,   0.1277,   0.0431
A42079,1990,   6,   3.2099,   0.3656,   0.3408,   0.7846,   0.1483,   0.0582,   0.0538,   0.0182
A42079,1990,   7,   5.1515,   0.5066,   0.3207,   0.6488,   0.1501,   0.0467,   0.0432,   0.0146
A42079,1990,   8,   6.4096,   0.5804,   0.3219,   0.5921,   0.0997,   0.0581,   0.0537,   0.0182
A42079,1990,   9,   3.3560,   0.3093,   0.1953,   0.6009,   0.0718,   0.0304,   0.0281,   0.0095
A42079,1990,  10,   5.8036,   0.2703,   0.1824,   0.5766,   0.0621,   0.0526,   0.0487,   0.0164
A42079,1990,  11,   3.6487,   0.2089,   0.1110,   0.5256,   0.0530,   0.0331,   0.0306,   0.0103
A42079,1990,  12,   6.3501,   0.3045,   0.1457,   0.4494,   0.0198,   0.0576,   0.0532,   0.0180
A42079,1991,   1,   2.1740,   0.1774,   0.0766,   0.5457,   0.0247,   0.0197,   0.0182,   0.0062
A42079,1991,   2,   1.6146,   0.1521,   0.0657,   0.5094,   0.0367,   0.0146,   0.0135,   0.0046
A42079,1991,   3,   3.8295,   0.3701,   0.2198,   0.7017,   0.0677,   0.0347,   0.0321,   0.0108
A42079,1991,   4,   3.1474,   0.2820,   0.1968,   0.5494,   0.0726,   0.0571,   0.0528,   0.0178
A42079,1991,   5,   2.4471,   0.2913,   0.2692,   0.6249,   0.0715,   0.0444,   0.0410,   0.0139
A42079,1991,   6,   2.7845,   0.3311,   0.2385,   0.7676,   0.1475,   0.0505,   0.0467,   0.0158
A42079,1991,   7,   3.2740,   0.3746,   0.2378,   0.6347,   0.1493,   0.0297,   0.0275,   0.0093
A42079,1991,   8,   4.0315,   0.4144,   0.2383,   0.5793,   0.0992,   0.0365,   0.0338,   0.0114
A42079,1991,   9,   3.7177,   0.2949,   0.2000,   0.5879,   0.0715,   0.0337,   0.0312,   0.0105
A42079,1991,  10,   2.9655,   0.1892,   0.1099,   0.5641,   0.0618,   0.0269,   0.0249,   0.0084
A42079,1991,  11,   3.8533,   0.1721,   0.1006,   0.5142,   0.0528,   0.0349,   0.0323,   0.0109
A42079,1991,  12,   3.6936,   0.2619,   0.1284,   0.4396,   0.0197,   0.0335,   0.0310,   0.0105
A42079,1992,   1,   1.6061,   0.1263,   0.0599,   0.5336,   0.0246,   0.0146,   0.0135,   0.0045
A42079,1992,   2,   1.8124,   0.1748,   0.0856,   0.4981,   0.0365,   0.0164,   0.0152,   0.0051
A42079,1992,   3,   4.4749,   0.4199,   0.2642,   0.6861,   0.0673,   0.0406,   0.0375,   0.0127
