seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
B51105,1984,   1,   2.6402,   0.1896,   0.0825,   0.5123,   0.0118,   0.0239,   0.0221,   0.0075
B51105,1984,   2,   4.7175,   0.1782,   0.0998,   0.4704,   0.0192,   0.0428,   0.0396,   0.0134
B51105,1984,   3,   4.8378,   0.4776,   0.2826,   0.5053,   0.0317,   0.0439,   0.0406,   0.0137
B51105,1984,   4,   3.4691,   0.2518,   0.1740,   0.5567,   0.0498,   0.0629,   0.0582,   0.0197
B51105,1984,   5,   8.7164,   0.4166,   0.3377,   0.5836,   0.0364,   0.1580,   0.1462,   0.0494
B51105,1984,   6,   3.6285,   0.2762,   0.2189,   0.4478,   0.0444,   0.0658,   0.0608,   0.0206
B51105,1984,   7,   4.9736,   0.3394,   0.1663,   0.4642,   0.0455,   0.0451,   0.0417,   0.0141
B51105,1984,   8,   2.3832,   0.1966,   0.0960,   0.4600,   0.0331,   0.0216,   0.0200,   0.0068
B51105,1984,   9,   1.2708,   0.0935,   0.0589,   0.4992,   0.0238,   0.0115,   0.0107,   0.0036
B51105,1984,  10,   5.0185,   0.2074,   0.1175,   0.5580,   0.0196,   0.0455,   0.0421,   0.0142
B51105,1984,  11,   5.6476,   0.2085,   0.1033,   0.4786,   0.0282,   0.0512,   0.0474,   0.0160
B51105,1984,  12,   3.4522,   0.1504,   0.0753,   0.4639,   0.0096,   0.0313,   0.0289,   0.0098
B51105,1985,   1,   2.8485,   0.1398,   0.0506,   0.5088,   0.0119,   0.0258,   0.0239,   0.0081
B51105,1985,   2,   5.0681,   0.2168,   0.0856,   0.4672,   0.0193,   0.0459,   0.0425,   0.0144
B51105,1985,   3,   2.2518,   0.1911,   0.0930,   0.5019,   0.0319,   0.0204,   0.0189,   0.0064
B51105,1985,   4,   3.5250,   0.2438,   0.1510,   0.5529,   0.0501,   0.0639,   0.0591,   0.0200
B51105,1985,   5,   3.7442,   0.3085,   0.1583,   0.5796,   0.0366,   0.0679,   0.0628,   0.0212
B51105,1985,   6,   4.5582,   0.2860,   0.1790,   0.4447,   0.0447,   0.0826,   0.0764,   0.0258
B51105,1985,   7,   4.1702,   0.3430,   0.1375,   0.4610,   0.0458,   0.0378,   0.0350,   0.0118
B51105,1985,   8,   5.8939,   0.3950,   0.1313,   0.4568,   0.0333,   0.0534,   0.0494,   0.0167
B51105,1985,   9,   0.7035,   0.0469,   0.0225,   0.4958,   0.0239,   0.0064,   0.0059,   0.0020
B51105,1985,  10,   2.8871,   0.1848,   0.0723,   0.5542,   0.0197,   0.0262,   0.0242,   0.0082
B51105,1985,  11,   6.3125,   0.2558,   0.0887,   0.4754,   0.0284,   0.0572,   0.0529,   0.0179
B51105,1985,  12,   1.5587,   0.0956,   0.0344,   0.4607,   0.0096,   0.0141,   0.0131,   0.0044
B51105,1986,   1,   1.3768,   0.0741,   0.0312,   0.5053,   0.0119,   0.0125,   0.0115,   0.0039
B51105,1986,   2,   7.0725,   0.2599,   0.1131,   0.4640,   0.0195,   0.0641,   0.0593,   0.0200
B51105,1986,   3,   2.3173,   0.1697,   0.0891,   0.4985,   0.0321,   0.0210,   0.0194,   0.0066
B51105,1986,   4,   1.5331,   0.1475,   0.1030,   0.5491,   0.0504,   0.0278,   0.0257,   0.0087
B51105,1986,   5,   4.0162,   0.3085,   0.1629,   0.5757,   0.0368,   0.0728,   0.0674,   0.0228
B51105,1986,   6,   1.9996,   0.1800,   0.0997,   0.4417,   0.0450,   0.0363,   0.0335,   0.0113
B51105,1986,   7,   4.0471,   0.2219,   0.0845,   0.4579,   0.0461,   0.0367,   0.0339,   0.0115
B51105,1986,   8,   4.0586,   0.3424,   0.1290,   0.4537,   0.0335,   0.0368,   0.0340,   0.0115
B51105,1986,   9,   5.5412,   0.2499,   0.0925,   0.4924,   0.0241,   0.0502,   0.0465,   0.0157
B51105,1986,  10,   3.8253,   0.2122,   0.0883,   0.5504,   0.0198,   0.0347,   0.0321,   0.0108
B51105,1986,  11,   6.0617,   0.2474,   0.0906,   0.4721,   0.0286,   0.0549,   0.0508,   0.0172
B51105,1986,  12,   3.9142,   0.1668,   0.0474,   0.4576,   0.0097,   0.0355,   0.0328,   0.0111
B51105,1987,   1,   3.9639,   0.1478,   0.0502,   0.5018,   0.0120,   0.0359,   0.0332,   0.0112
B51105,1987,   2,   3.9054,   0.1629,   0.0506,   0.4608,   0.0196,   0.0354,   0.0327,   0.0111
B51105,1987,   3,   2.3197,   0.2147,   0.0977,   0.4950,   0.0323,   0.0210,   0.0195,   0.0066
B51105,1987,   4,   5.5305,   0.3996,   0.2596,   0.5454,   0.0508,   0.1003,   0.0927,   0.0313
B51105,1987,   5,   4.0464,   0.3501,   0.2098,   0.5717,   0.0371,   0.0734,   0.0679,   0.0229
B51105,1987,   6,   3.3496,   0.2538,   0.1517,   0.4387,   0.0453,   0.0607,   0.0562,   0.0190
B51105,1987,   7,   4.1661,   0.2428,   0.0949,   0.4547,   0.0464,   0.0378,   0.0349,   0.0118
B51105,1987,   8,   3.0435,   0.2179,   0.0978,   0.4506,   0.0337,   0.0276,   0.0255,   0.0086
B51105,1987,   9,   3.9389,   0.1904,   0.0957,   0.4890,   0.0242,   0.0357,   0.0330,   0.0112
B51105,1987,  10,   0.8015,   0.0561,   0.0337,   0.5466,   0.0200,   0.0073,   0.0067,   0.0023
B51105,1987,  11,   1.6503,   0.0731,   0.0342,   0.4689,   0.0288,   0.0150,   0.0138,   0.0047
B51105,1987,  12,   5.3290,   0.1400,   0.0459,   0.4544,   0.0098,   0.0483,   0.0447,   0.0151
B51105,1988,   1,   2.6501,   0.0886,   0.0301,   0.4984,   0.0121,   0.0240,   0.0222,   0.0075
B51105,1988,   2,   2.2237,   0.1034,   0.0701,   0.4576,   0.0197,   0.0202,   0.0186,   0.0063
B51105,1988,   3,   1.7080,   0.1111,   0.0756,   0.4916,   0.0325,   0.0155,   0.0143,   0.0048
B51105,1988,   4,   4.2018,   0.2127,   0.1450,   0.5416,   0.0511,   0.0762,   0.0705,   0.0238
B51105,1988,   5,   3.8536,   0.2443,   0.1725,   0.5677,   0.0373,   0.0699,   0.0646,   0.0218
B51105,1988,   6,   1.2389,   0.1032,   0.0787,   0.4356,   0.0455,   0.0225,   0.0208,   0.0070
B51105,1988,   7,   4.1495,   0.2773,   0.1253,   0.4516,   0.0467,   0.0376,   0.0348,   0.0118
B51105,1988,   8,   3.4011,   0.2781,   0.1144,   0.4475,   0.0339,   0.0308,   0.0285,   0.0096
B51105,1988,   9,   6.2042,   0.2242,   0.1138,   0.4856,   0.0244,   0.0562,   0.0520,   0.0176
B51105,1988,  10,   1.9989,   0.0990,   0.0519,   0.5428,   0.0201,   0.0181,   0.0168,   0.0057
B51105,1988,  11,   4.6924,   0.1474,   0.0705,   0.4656,   0.0290,   0.0425,   0.0393,   0.0133
B51105,1988,  12,   2.6141,   0.0823,   0.0312,   0.4513,   0.0098,   0.0237,   0.0219,   0.0074
B51105,1989,   1,   4.7482,   0.1422,   0.0770,   0.4949,   0.0122,   0.0430,   0.0398,   0.0135
B51105,1989,   2,   4.7122,   0.1999,   0.1231,   0.4544,   0.0198,   0.0427,   0.0395,   0.0133
B51105,1989,   3,   3.8297,   0.2771,   0.1679,   0.4882,   0.0327,   0.0347,   0.0321,   0.0108
B51105,1989,   4,   3.6821,   0.2251,   0.2122,   0.5378,   0.0514,   0.0668,   0.0617,   0.0209
B51105,1989,   5,   5.9162,   0.3436,   0.2350,   0.5638,   0.0375,   0.1073,   0.0992,   0.0335
B51105,1989,   6,   8.0034,   0.4115,   0.3144,   0.4326,   0.0458,   0.1451,   0.1342,   0.0453
B51105,1989,   7,   3.6381,   0.2317,   0.1213,   0.4484,   0.0470,   0.0330,   0.0305,   0.0103
B51105,1989,   8,   5.8895,   0.3790,   0.1781,   0.4443,   0.0342,   0.0534,   0.0494,   0.0167
B51105,1989,   9,   5.9473,   0.2789,   0.1339,   0.4822,   0.0246,   0.0539,   0.0499,   0.0168
B51105,1989,  10,   4.3159,   0.1155,   0.0648,   0.5390,   0.0202,   0.0391,   0.0362,   0.0122
B51105,1989,  11,   4.6070,   0.1855,   0.1135,   0.4624,   0.0291,   0.0418,   0.0386,   0.0131
B51105,1989,  12,   1.8278,   0.1255,   0.0555,   0.4481,   0.0099,   0.0166,   0.0153,   0.0052
B51105,1990,   1,   2.8816,   0.1372,   0.0812,   0.4914,   0.0122,   0.0261,   0.0242,   0.0082
B51105,1990,   2,   5.3366,   0.1138,   0.0873,   0.4512,   0.0200,   0.0484,   0.0447,   0.0151
B51105,1990,   3,   3.2552,   0.2282,   0.1333,   0.4847,   0.0329,   0.0295,   0.0273,   0.0092
B51105,1990,   4,   3.4837,   0.2481,   0.1831,   0.5340,   0.0517,   0.0632,   0.0584,   0.0197
B51105,1990,   5,   7.3622,   0.3884,   0.3175,   0.5598,   0.0378,   0.1335,   0.1235,   0.0417
B51105,1990,   6,   3.0963,   0.1784,   0.1514,   0.4295,   0.0461,   0.0561,   0.0519,   0.0175
B51105,1990,   7,   4.2119,   0.2590,   0.1427,   0.4453,   0.0473,   0.0382,   0.0353,   0.0119
B51105,1990,   8,   4.0140,   0.3113,   0.1664,   0.4412,   0.0344,   0.0364,   0.0337,   0.0114
B51105,1990,   9,   2.2023,   0.1217,   0.0746,   0.4788,   0.0247,   0.0200,   0.0185,   0.0062
B51105,1990,  10,   3.9662,   0.1408,   0.0862,   0.5352,   0.0203,   0.0360,   0.0333,   0.0112
B51105,1990,  11,   1.5648,   0.0627,   0.0361,   0.4591,   0.0293,   0.0142,   0.0131,   0.0044
B51105,1990,  12,   9.1642,   0.2215,   0.0951,   0.4450,   0.0100,   0.0831,   0.0768,   0.0260
B51105,1991,   1,   3.6425,   0.1810,   0.0694,   0.4879,   0.0123,   0.0330,   0.0305,   0.0103
B51105,1991,   2,   5.6887,   0.1041,   0.0497,   0.4480,   0.0201,   0.0516,   0.0477,   0.0161
B51105,1991,   3,   7.5485,   0.3400,   0.1635,   0.4813,   0.0331,   0.0684,   0.0633,   0.0214
B51105,1991,   4,   2.8667,   0.2257,   0.1518,   0.5302,   0.0520,   0.0520,   0.0481,   0.0162
B51105,1991,   5,   4.5039,   0.3952,   0.2028,   0.5559,   0.0380,   0.0817,   0.0755,   0.0255
B51105,1991,   6,   4.0603,   0.2688,   0.1583,   0.4265,   0.0464,   0.0736,   0.0681,   0.0230
B51105,1991,   7,   7.5895,   0.4306,   0.2029,   0.4421,   0.0475,   0.0688,   0.0636,   0.0215
B51105,1991,   8,   4.1287,   0.3315,   0.1471,   0.4381,   0.0346,   0.0374,   0.0346,   0.0117
B51105,1991,   9,   4.6204,   0.2838,   0.1147,   0.4755,   0.0249,   0.0419,   0.0387,   0.0131
B51105,1991,  10,   1.4959,   0.0540,   0.0314,   0.5315,   0.0205,   0.0136,   0.0125,   0.0042
B51105,1991,  11,   3.6500,   0.1243,   0.0472,   0.4559,   0.0295,   0.0331,   0.0306,   0.0103
B51105,1991,  12,  10.1597,   0.2011,   0.0786,   0.4418,   0.0100,   0.0921,   0.0852,   0.0288
B51105,1992,   1,   2.8820,   0.1223,   0.0580,   0.4844,   0.0124,   0.0261,   0.0242,   0.0082
B51105,1992,   2,   2.4320,   0.1200,   0.0617,   0.4448,   0.0202,   0.0220,   0.0204,   0.0069
B51105,1992,   3,   4.7776,   0.3135,   0.1751,   0.4779,   0.0333,   0.0433,   0.0401,   0.0135
B51105,1992,   4,   1.9634,   0.1340,   0.0908,   0.5265,   0.0524,   0.0356,   0.0329,   0.0111
B51105,1992,   5,   4.7884,   0.4135,   0.2256,   0.5519,   0.0382,   0.0868,   0.0803,   0.0271
B51105,1992,   6,   4.7397,   0.3083,   0.1626,   0.4235,   0.0467,   0.0859,   0.0795,   0.0269
