landseg,landuse,nutrient,max_uptake
F24005,pas,Nitr,114.7748
A24005,pas,Nitr,114.7748
F24005,pas,Phos,17.216221
A24005,pas,Phos,17.216221
A42027,nhy,Nitr,155.72803
B42027,nhy,Nitr,155.72803
F42027,nhy,Nitr,155.72803
A42027,nhy,Phos,23.265699
B42027,nhy,Phos,23.265699
F42027,nhy,Phos,23.265699
B42081,pas,Nitr,123.7424
A42081,pas,Nitr,123.7424
F42081,pas,Nitr,123.7424
B42081,pas,Phos,18.561361
A42081,pas,Phos,18.561361
F42081,pas,Phos,18.561361
A51069,pas,Nitr,124.37039
F51069,pas,Nitr,124.37039
A51069,pas,Phos,18.655558
F51069,pas,Phos,18.655558
F54065,lwm,Nitr,151.22458
A54065,lwm,Nitr,151.22458
F54065,lwm,Phos,22.912981
A54065,lwm,Phos,22.912981
A42093,pas,Nitr,103.82456
A42093,pas,Phos,15.573684
A51073,trp,Nitr,113.0891
A51073,trp,Phos,16.963366
F54057,trp,Nitr,123.16402
A54057,trp,Nitr,123.16402
B54057,trp,Nitr,123.16402
F54057,trp,Phos,18.474604
A54057,trp,Phos,18.474604
B54057,trp,Phos,18.474604
A42105,trp,Nitr,121.85812
A42105,trp,Phos,18.278717
A42057,nal,Nitr,358.27063
A42057,nal,Phos,53.740505
A42079,nhy,Nitr,154.11282
B42079,nhy,Nitr,154.11282
F42079,nhy,Nitr,154.11282
A42079,nhy,Phos,23.05541
B42079,nhy,Phos,23.05541
F42079,nhy,Phos,23.05541
A51017,pas,Nitr,124.27579
B51017,pas,Nitr,124.27579
F51017,pas,Nitr,124.27579
A51017,pas,Phos,18.641369
B51017,pas,Phos,18.641369
F51017,pas,Phos,18.641369
A51181,pas,Nitr,141.41939
F51181,pas,Nitr,141.41939
A51181,pas,Phos,21.21291
F51181,pas,Phos,21.21291
A36007,pas,Nitr,127.22073
F36007,pas,Nitr,127.22073
A36007,pas,Phos,19.083111
F36007,pas,Phos,19.083111
A42011,hyw,Nitr,151.7428
F42011,hyw,Nitr,151.7428
A42011,hyw,Phos,22.606445
F42011,hyw,Phos,22.606445
A42033,pas,Nitr,110.40109
F42033,pas,Nitr,110.40109
A42033,pas,Phos,16.560163
F42033,pas,Phos,16.560163
F54065,hyw,Nitr,159.63956
A54065,hyw,Nitr,159.63956
F54065,hyw,Phos,23.919598
A54065,hyw,Phos,23.919598
B51157,hyw,Nitr,161.83925
A51157,hyw,Nitr,161.83925
F51157,hyw,Nitr,161.83925
B51157,hyw,Phos,24.262373
A51157,hyw,Phos,24.262373
F51157,hyw,Phos,24.262373
A24037,hyw,Nitr,147.20476
F24037,hyw,Nitr,147.20476
A24037,hyw,Phos,21.957901
F24037,hyw,Phos,21.957901
A36007,trp,Nitr,127.22073
F36007,trp,Nitr,127.22073
A36007,trp,Phos,19.083111
F36007,trp,Phos,19.083111
B51023,hyw,Nitr,155.28065
A51023,hyw,Nitr,155.28065
F51023,hyw,Nitr,155.28065
B51023,hyw,Phos,23.210196
A51023,hyw,Phos,23.210196
F51023,hyw,Phos,23.210196
A42063,pas,Nitr,110.61716
A42063,pas,Phos,16.592573
A42093,trp,Nitr,103.82456
A42093,trp,Phos,15.573684
A36077,trp,Nitr,131.03792
A36077,trp,Phos,19.655687
F42001,trp,Nitr,123.21468
B42001,trp,Nitr,123.21468
A42001,trp,Nitr,123.21468
F42001,trp,Phos,18.482203
B42001,trp,Phos,18.482203
A42001,trp,Phos,18.482203
A51193,trp,Nitr,128.43864
F51193,trp,Nitr,128.43864
A51193,trp,Phos,19.265797
F51193,trp,Phos,19.265797
F51009,lwm,Nitr,176.83363
B51009,lwm,Nitr,176.83363
A51009,lwm,Nitr,176.83363
F51009,lwm,Phos,26.377224
B51009,lwm,Phos,26.377224
A51009,lwm,Phos,26.377224
A42027,nal,Nitr,358.27206
B42027,nal,Nitr,358.27206
F42027,nal,Nitr,358.27206
A42027,nal,Phos,53.740761
