landseg,landuse,nutrient,max_uptake
A10003,alf,Nitr,288.21852272093338
A10003,alf,Phos,43.232776216052137
A10003,hom,Nitr,144.86584331555667
A10003,hom,Phos,24.771587677365257
A10003,hwm,Nitr,177.43806490703645
A10003,hwm,Phos,22.283531642416325
A10003,hyo,Nitr,105.4117686919931
A10003,hyo,Phos,15.811765045977332
A10003,hyw,Nitr,152.5321910361298
A10003,hyw,Phos,22.794332838411439
A10003,lwm,Nitr,177.43806939292185
A10003,lwm,Phos,22.283531799445175
A10003,nal,Nitr,288.21852220217636
A10003,nal,Phos,43.232775262981697
A10003,nhi,Nitr,177.4380658223069
A10003,nhi,Phos,22.283531531340756
A10003,nho,Nitr,144.86584333520148
A10003,nho,Phos,24.771588481776678
A10003,nhy,Nitr,152.53218924660996
A10003,nhy,Phos,22.794333540843699
A10003,nlo,Nitr,177.43806844920746
A10003,nlo,Phos,22.283531865149126
A10003,pas,Nitr,141.84656143379516
A10003,pas,Phos,21.276984593429844
A10003,puh,Nitr,207.83203300596958
A10003,puh,Phos,31.174806200577525
A10003,pul,Nitr,207.8320393014092
A10003,pul,Phos,31.174806964409683
A10003,urs,Nitr,105.41177055171752
A10003,urs,Phos,15.811765134530695
A10005,alf,Nitr,276.33118954325784
A10005,alf,Phos,41.449678005005389
A10005,hom,Nitr,74.369129984252126
A10005,hom,Phos,19.585313870770054
A10005,hwm,Nitr,152.9980154441669
A10005,hwm,Phos,19.962815467377798
A10005,hyo,Nitr,105.41176704168269
A10005,hyo,Phos,15.811764513708438
A10005,hyw,Nitr,131.01789031083314
A10005,hyw,Phos,19.572200914717669
A10005,lwm,Nitr,152.99801416924464
A10005,lwm,Phos,19.962815227831541
A10005,nal,Nitr,276.33119922238939
A10005,nal,Phos,41.449678986054963
A10005,nhi,Nitr,152.99801356299599
A10005,nhi,Phos,19.962815105316704
A10005,nho,Nitr,74.369130804938891
A10005,nho,Phos,19.585314381696655
A10005,nhy,Nitr,131.01789108819008
A10005,nhy,Phos,19.572201085707249
A10005,nlo,Nitr,152.99801250559764
A10005,nlo,Phos,19.962815235656699
A10005,pas,Nitr,115.05816905206835
A10005,pas,Phos,17.258726137812271
A10005,puh,Nitr,218.20440362977644
A10005,puh,Phos,32.730662356366608
A10005,pul,Nitr,218.20439190050578
A10005,pul,Phos,32.730660176463779
A10005,urs,Nitr,105.41176740045681
A10005,urs,Phos,15.811764870040086
A24005,alf,Nitr,332.65274871507648
A24005,alf,Phos,49.897912871604014
A24005,hom,Nitr,91.812575277022361
A24005,hom,Phos,20.580675261200145
A24005,hwm,Nitr,150.14900601692278
