landseg,landuse,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
A24011,nhy,0.34698659,0.3475945,0.34631523,0.38106745,0.44149008,0.61742455,0.72869617,0.75413096,0.59082574,0.38579345,0.45610046,0.38890103
B42119,npd,0.4503226,0.4439286,0.44838709,0.46033329,0.51774192,0.73199993,0.66000003,0.69064522,0.70099998,0.51774192,0.62666672,0.50870973
F51079,urs,0.56281942,0.53833866,0.31258631,3.7928063E-2,9.1143705E-2,0.45202672,0.91933286,0.94999999,0.94999999,0.70922273,0.63590872,0.59007859
F24013,urs,0.56003493,0.53583902,0.31169862,3.8136691E-2,9.0598352E-2,0.4508597,0.91833395,0.94999999,0.94999999,0.70487052,0.63229877,0.58697712
A42111,alf,0.41,0.40000001,0.39451611,0.39033329,0.61806452,0.493,0.47838709,0.49870971,0.55166668,0.31354839,0.36300001,0.39129031
A51800,nhy,0.63608146,0.67972916,0.69461507,0.67657006,0.69562536,0.84645349,0.94999999,0.94999999,0.80762255,0.65149242,0.64575869,0.63490558
F51800,nhy,0.63608146,0.67972916,0.69461507,0.67657006,0.69562536,0.84645349,0.94999999,0.94999999,0.80762255,0.65149242,0.64575869,0.63490558
F51163,hyw,0.58781779,0.5817017,0.59974462,0.65171981,0.81125998,0.94999999,0.87660724,0.94999999,0.75504982,0.78239793,0.58378422,0.59673673
A54071,pas,0.28722149,0.29156733,0.33435944,0.54700482,0.55862784,0.59537756,0.53468758,0.54011095,0.57760781,0.42720896,0.48839822,0.36531213
A36007,lwm,0.39098543,0.39098543,0.39027613,0.38490245,0.36441335,0.32552868,0.56530017,0.92000443,0.67725718,0.41359642,0.40246075,0.39464831
A36051,lwm,0.67680651,0.6754272,0.67180896,0.67925656,0.65687752,0.59065992,0.71299982,0.92123121,0.8555268,0.71947908,0.69672668,0.68390429
F24041,alf,0.21161291,0.1971429,0.1777419,0.26466671,0.40516129,0.66799998,0.56290323,0.5912903,0.66799998,0.2919355,0.26400003,0.2396774
F51181,npa,0.66084397,0.69020164,0.75208426,0.80127364,0.80602753,0.86850679,0.79519284,0.79519284,0.74753934,0.72398835,0.69558567,0.66150123
F51061,lwm,0.63995421,0.63881141,0.62446988,0.60353166,0.54987544,0.54206753,0.86715597,0.94650793,0.73908091,0.65060931,0.6455493,0.64649111
A24047,nlo,0.59020054,0.58074343,0.56192261,0.52671933,0.46143582,0.59095097,0.93793064,0.94999999,0.87826014,0.66717374,0.62538087,0.60309285
F42001,rpd,0.4503226,0.4439286,0.44838712,0.46033329,0.51774192,0.73199999,0.66000003,0.69064522,0.70099998,0.51774192,0.62666672,0.50870973
