landseg,landuse,nutrient,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
A10001,alf,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10001,hom,no3n,0,0,5.1382375,2.7323244,5.1454897,1.3818854E-2,0.27307025,0,0,0,0,0
A10001,hom,po4p,0,0,3.0935347,3.3308468,11.31179,2.0477693,0.16384214,0,0,0,0,0
A10001,hwm,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10001,lwm,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10001,nal,no3n,0,0,0,0,0,0,0,0,0,0,0,0
A10001,nhi,no3n,1.0082366,2.0235419,0,1.3871274,4.6265099E-2,3.2288942,0,0.22648601,0.51719368,0,0,0.86607313
A10001,nhi,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10001,nho,no3n,0,0,5.1247067,2.6943314,5.0739336,1.3626683E-2,0.26927277,0,0,0,0,0
A10001,nhy,no3n,0,0,1.0545808,0,0,0,0,0,0,1.822984,0,0
A10001,nhy,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10001,nlo,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10001,npd,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10001,pas,nh3n,0,0,0,0,23.422482,0,0,0,0,0,0,0
A10003,alf,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10003,hom,no3n,0,0,14.602498,2.846441,9.7286291,0.14991352,1.5786974,0,0,0,0,0
A10003,hwm,nh3n,0.21656682,8.9357843,0,6.9413562,0.15195748,18.852478,0,0.21803708,4.0202708,0,0,4.191227
A10003,hyw,nh3n,0,0,1.7642579,0,11.699948,0,0,0,0,13.624801,0,0
A10003,hyw,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10003,lwm,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10003,nal,nh3n,0,0,0,0,0,0,0,0,0,0,0,0
A10003,nal,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10003,nhi,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10003,nho,no3n,0,0,14.563694,2.8068686,9.593338,0.14782874,1.5567433,0,0,0,0,0
A10001,alf,no3n,0,0,0,0,0,0,0,0,0,0,0,0
A10001,hom,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10001,hwm,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10001,hyw,nh3n,0,0,3.4737389,0,0,0,0,0,0,5.6950231,0,0
A10001,hyw,no3n,0,0,1.157913,0,0,0,0,0,0,1.8983411,0,0
A10001,hyw,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10001,lwm,no3n,1.0138847,2.0477238,0,1.5170774,5.0798345E-2,3.5079143,0,0.23202884,0.52351868,0,0,0.87711602
A10001,lwm,po4p,0,0,0,10.618649,0,0,0,0.76913321,1.5177525,0,0,0
A10001,nal,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10001,nho,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10001,npd,nh3n,0,0,0,16.049131,0,0,16.049131,0,0,0,0,0
A10001,npd,no3n,0,0,0,5.3497109,0,0,5.3497109,0,0,0,0,0
A10001,pas,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10001,pas,po4p,0,0,0,0,26.717697,0,0,0,0,0,0,0
A10001,urs,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10003,alf,nh3n,0,0,0,0,0,0,0,0,0,0,0,0
A10003,alf,no3n,0,0,0,0,0,0,0,0,0,0,0,0
A10003,hom,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10003,hom,po4p,0,0,8.7916918,1.708011,10.232709,2.1280029,0.94721848,0,0,0,0,0
A10003,hwm,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10003,hwm,po4p,0,1.1169824E-3,0,13.286964,0,0,0,7.2846614E-2,3.2926927,0,0,0
A10003,hyw,no3n,0,0,0.58808601,0,3.8999825,0,0,0,0,4.5416002,0,0
A10003,hyw,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10003,lwm,nh3n,0.21656683,8.9357843,0,6.9413557,0.15195748,18.852476,0,0.2180371,4.0202708,0,0,4.191227
A10001,hom,nh3n,0,0,15.414713,8.1969738,15.436468,4.1456558E-2,0.81921071,0,0,0,0,0
A10001,hwm,nh3n,3.0416541,6.1431713,0,4.5512323,0.15239502,10.523744,0,0.69608653,1.570556,0,0,2.6313481
A10001,hyw,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10001,nal,nh3n,0,0,0,0,0,0,0,0,0,0,0,0
A10001,nal,po4p,0,0,1.3818182,0,2.7636364,1.3818182,1.3818182,0,0,0,0,0
A10001,nhi,nh3n,3.0247099,6.0706263,0,4.1613822,0.1387953,9.6866827,0,0.67945802,1.551581,0,0,2.5982196
A10001,nho,po4p,0,0,3.085269,3.284529,11.154482,2.0192921,0.16156368,0,0,0,0,0
A10001,nhy,nh3n,0,0,3.1637425,0,0,0,0,0,0,5.4689522,0,0
A10001,nlo,no3n,1.0082365,2.0235422,0,1.3871274,4.6265095E-2,3.2288945,0,0.22648601,0.51719368,0,0,0.86607319
A10001,nlo,po4p,0,0,0,8.916935,0,0,0,0.76107836,1.4824213,0,0,0
A10001,pas,no3n,0,0,0,0,7.8074932,0,0,0,0,0,0,0
A10001,pas,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10001,urs,no3n,0,0,0.59693712,28.217838,0.08527673,0,0,0,0,0,0,0
A10001,urs,po4p,0,0,1.3823808,17.493979,0,0,0,0,0,0,0,0
A10003,alf,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10003,hom,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10003,hwm,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10003,hyw,po4p,0,0,0.25085339,0,0.71737862,0,0,0,0,2.0759041,0,0
A10003,lwm,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10003,nal,no3n,0,0,0,0,0,0,0,0,0,0,0,0
A10003,nhi,nh3n,0.21538875,8.8863554,0,6.8437152,0.14763017,18.602133,0,0.21335031,3.9981511,0,0,4.168427
A10003,nhi,no3n,7.1796246E-2,2.9621186,0,2.2812386,0.04921006,6.2007103,0,7.1116768E-2,1.3327171,0,0,1.3894757
A10003,nho,nh3n,0,0,43.691082,8.4206057,28.780012,0.44348621,4.6702299,0,0,0,0,0
A10003,nhy,nh3n,0,0,1.7140169,0,11.675309,0,0,0,0,13.596108,0,0
A10001,alf,nh3n,0,0,0,0,0,0,0,0,0,0,0,0
A10001,alf,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10001,alf,po4p,0,0,1.4229828,0,2.8459656,1.4229828,1.4229828,0,0,0,0,0
A10001,hom,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10001,hwm,no3n,1.0138847,2.0477238,0,1.5170774,5.0798342E-2,3.5079141,0,0.23202883,0.52351862,0,0,0.87711596
A10001,hwm,po4p,0,0,0,10.618648,0,0,0,0.76913327,1.5177525,0,0,0
A10001,hyw,po4p,0,0,0,0,0,0,0,0,0,0,0,0
A10001,lwm,nh3n,3.0416541,6.1431713,0,4.5512323,0.15239504,10.523744,0,0.69608653,1.570556,0,0,2.6313479
A10001,lwm,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10001,nal,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10001,nhi,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10001,nhi,po4p,0,0,0,8.9169359,0,0,0,0.76107842,1.4824213,0,0,0
A10001,nho,nh3n,0,0,15.37412,8.0829945,15.221802,4.0880047E-2,0.80781835,0,0,0,0,0
A10001,nho,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10001,nhy,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10001,nhy,po4p,0,0,0,0,0,0,0,0,0,0,0,0
A10001,nlo,nh3n,3.0247097,6.0706263,0,4.1613822,0.13879529,9.6866827,0,0.67945802,1.551581,0,0,2.5982194
A10001,nlo,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10001,npd,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10001,npd,po4p,0,0,0,0.64490229,0,0,0.64490229,0,0,0,0,0
A10001,urs,nh3n,0,0,1.7908114,84.653519,0.2558302,0,0,0,0,0,0,0
A10001,urs,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10003,alf,po4p,0,0,1.3964276,0,2.7928553,1.3964276,1.3964276,0,0,0,0,0
A10003,hom,nh3n,0,0,43.807495,8.5393229,29.185886,0.44974056,4.7360921,0,0,0,0,0
A10003,nhy,no3n,0,0,0.57133895,0,3.8917699,0,0,0,0,4.5320363,0,0
A10003,nlo,nh3n,0.21538872,8.8863554,0,6.8437147,0.14763017,18.602131,0,0.2133503,3.9981508,0,0,4.168427
A10003,nlo,no3n,7.1796238E-2,2.9621184,0,2.2812383,4.9210057E-2,6.2007098,0,7.1116768E-2,1.3327169,0,0,1.3894756
A10003,npd,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10003,pas,no3n,0,0,0,0,10.03579,0,0,0,0,0,0,0
A10003,pas,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10003,urs,nh3n,0,0,0,87.388863,0.98293263,0,0,0,0,0,0,0
A10003,urs,no3n,0,0,0,29.129622,0.3276442,0,0,0,0,0,0,0
A10005,alf,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10005,cpd,po4p,0,0,0,0.64490229,0,0,0.64490229,0,0,0,0,0
A10005,hom,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10005,hwm,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10005,hyw,po4p,0,0,0,0,0,0,0,0,0,0,0,0
A10005,lwm,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nal,no3n,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nhi,no3n,0.62787914,1.1259261,0,4.4616211E-2,4.4616211E-2,0,0,4.4616211E-2,0,0,0,0.55177182
A10005,nhi,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nho,nh3n,0,0,8.6032465E-2,11.001633,25.70414,0.39645135,1.8650972,0,0,0,0,0
A10005,nho,no3n,0,0,2.8677488E-2,3.6672108,8.5680466,0.13215046,0.62169904,0,0,0,0,0
A10005,nhy,no3n,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nhy,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nlo,nh3n,1.8836374,3.3777783,0,0.13384864,0.13384864,0,0,0.13384864,0,0,0,1.6553154
A10005,npd,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10005,npd,po4p,0,0,0,0.64490229,0,0,0.64490229,0,0,0,0,0
A10003,lwm,no3n,7.2188951E-2,2.978595,0,2.3137853,5.0652493E-2,6.2841587,0,7.2679028E-2,1.3400903,0,0,1.3970757
A10003,nhi,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10003,nhy,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10003,npd,nh3n,0,0,0,16.049131,0,0,16.049131,0,0,0,0,0
A10003,pas,po4p,0,0,0,0,29.21146,0,0,0,0,0,0,0
A10005,alf,nh3n,0,0,0,0,0,0,0,0,0,0,0,0
A10005,alf,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10005,cpd,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10005,hom,no3n,0,0,2.8921356E-2,3.7189221,8.688879,0.13401411,0.63046658,0,0,0,0,0
A10005,hom,po4p,0,0,4.5028202E-2,3.8343248,17.617813,2.000416,0.37827995,0,0,0,0,0
A10005,hwm,no3n,0.6819697,1.2231601,0,5.7200275E-2,5.7200275E-2,0,0,5.7200275E-2,0,0,0,0.59824353
A10005,hwm,po4p,0,0,0,8.1954374,0,0,0,0.27968508,0.26402768,0,0,0
A10005,lwm,nh3n,2.0459092,3.6694806,0,0.17160083,0.17160083,0,0,0.17160083,0,0,0,1.7947305
A10005,lwm,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nal,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nhi,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nhi,po4p,0,0,0,6.0256791,0,0,0,0.25750184,0.24319509,0,0,0
A10005,nho,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nhy,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nhy,po4p,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nlo,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10005,npd,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10005,urs,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A11001,npd,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10003,nho,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10003,nhy,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10003,nlo,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10003,npd,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10003,pas,nh3n,0,0,0,0,30.10737,0,0,0,0,0,0,0
A10003,pas,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10003,urs,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10005,cpd,nh3n,0,0,0,16.049131,0,0,16.049131,0,0,0,0,0
A10005,cpd,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10005,hwm,nh3n,2.0459092,3.6694808,0,0.17160083,0.17160083,0,0,0.17160083,0,0,0,1.7947307
A10005,hwm,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10005,hyw,nh3n,0,0,0,0,0,0,0,0,0,0,0,0
A10005,hyw,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nal,nh3n,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nal,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nhi,nh3n,1.8836375,3.3777785,0,0.13384864,0.13384864,0,0,0.13384864,0,0,0,1.6553155
A10005,nho,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nhy,nh3n,0,0,0,0,0,0,0,0,0,0,0,0
A10005,nlo,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10005,npd,nh3n,0,0,0,16.049133,0,0,16.049133,0,0,0,0,0
A10005,pas,nh3n,0,0,0,0,0,0,0,0,0,0,0,0
A10005,pas,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10005,pas,po4p,0,0,0,0,11.379261,0,0,0,0,0,0,0
A10005,rpd,nh3n,0,0,0,16.049131,0,0,16.049131,0,0,0,0,0
A10003,hwm,no3n,7.2188944E-2,2.9785948,0,2.3137853,5.0652493E-2,6.2841592,0,7.2679028E-2,1.3400903,0,0,1.3970757
A10003,lwm,po4p,0,1.1169824E-3,0,13.286963,0,0,0,7.2846614E-2,3.2926927,0,0,0
A10003,nal,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10003,nal,po4p,0,0,1.3867409,0,2.7734818,1.3867409,1.3867409,0,0,0,0,0
A10003,nhi,po4p,0,1.107687E-3,0,12.898987,0,0,0,7.2294243E-2,3.2673054,0,0,0
A10003,nho,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10003,nho,po4p,0,0,8.7679901,1.6842655,10.090408,2.0984097,0.93404603,0,0,0,0,0
A10003,nhy,po4p,0,0,0.23995627,0,0.71346629,0,0,0,0,2.0691311,0,0
A10003,nlo,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10003,nlo,po4p,0,1.1076871E-3,0,12.898987,0,0,0,7.2294243E-2,3.2673059,0,0,0
A10003,npd,no3n,0,0,0,5.3497109,0,0,5.3497109,0,0,0,0,0
A10003,npd,po4p,0,0,0,0.64490229,0,0,0.64490229,0,0,0,0,0
A10003,urs,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10003,urs,po4p,0,0,0,18.236528,0,0,0,0,0,0,0,0
A10005,alf,no3n,0,0,0,0,0,0,0,0,0,0,0,0
A10005,alf,po4p,0,0,1.4545455,0,2.909091,1.4545455,1.4545455,0,0,0,0,0
A10005,cpd,no3n,0,0,0,5.3497109,0,0,5.3497109,0,0,0,0,0
A10005,hom,nh3n,0,0,8.6764067E-2,11.156767,26.066637,0.40204233,1.8913997,0,0,0,0,0
A10005,hom,orgp,0,0,0,0,0,0,0,0,0,0,0,0
A10005,hyw,no3n,0,0,0,0,0,0,0,0,0,0,0,0
A10005,hyw,orgn,0,0,0,0,0,0,0,0,0,0,0,0
A10005,lwm,no3n,0.6819697,1.2231603,0,5.7200275E-2,5.7200275E-2,0,0,5.7200275E-2,0,0,0,0.59824353
A10005,lwm,po4p,0,0,0,8.1954384,0,0,0,0.27968511,0.26402763,0,0,0
A10005,nal,po4p,0,0,1.3818182,0,2.7636364,1.3818182,1.3818182,0,0,0,0,0
A10005,rpd,po4p,0,0,0,0.64490223,0,0,0.64490223,0,0,0,0,0
A10005,urs,nh3n,0,0,0,86.429985,0.26830393,0,0,0,0,0,0,0
A10005,urs,no3n,0,0,0,28.809996,8.9434646E-2,0,0,0,0,0,0,0
