landseg,landuse,nutrient,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
A24001,hom,nh3n,0,0,0,0,0,0.6856429,3.2558544,11.230936,8.6607246,0,0,0
A24003,hom,nh3n,0,0,0,0,1.6177001,1.6177001,4.4228559,4.3377137,0,0,0,0
A24015,hom,nh3n,0,0,0,0,0,1.0618768E-2,2.6747496,10.941001,8.2768707,0,0,0
A24017,hom,nh3n,0,0,0,0,0.79119408,0.79119408,0.85781908,0.26650003,0,0,0,0
A24021,hom,nh3n,0,0,0,0,0,0.46637383,0.74619812,0.93274766,0.65292341,0,0,0
A24027,hom,nh3n,0,0,0,0,0,2.2299395,5.2733607,14.716352,11.67293,0,0,0
A24035,hom,nh3n,0,0,0,0,18.1171,18.1171,20.002506,13.248279,0,0,0,0
A24047,hom,nh3n,0,0,0,0,11.014132,11.014132,13.498264,12.964517,0,0,0,0
A36007,hom,nh3n,0,0,0,0,0,0.71385229,0.72705859,1.7978369,1.7846307,0,0,0
A36065,hom,nh3n,0,0,0,0,0,33.778488,33.7855,34.2598,34.252789,0,0,0
A36077,hom,nh3n,0,0,0,0,0,6.8572119E-2,8.9143753E-2,25.721127,25.700554,0,0,0
A36107,hom,nh3n,0,0,0,0,0,0.66269636,0.67412788,1.8338466,1.822415,0,0,0
A36109,hom,nh3n,0,0,0,0,0,0.5307045,0.53834659,1.175192,1.1675498,0,0,0
A36123,hom,nh3n,0,0,0,0,0,3.7570174,3.7575517,5.9282727,5.9277382,0,0,0
A42013,hom,nh3n,0,0,0,0,0,0.18967526,0.20181449,0.40931922,0.39717999,0,0,0
A42029,hom,nh3n,0,0,0,0,0,4.4757977E-2,8.9515954E-2,0.13427393,8.9515954E-2,0,0,0
A42047,hom,nh3n,0,0,0,0,0,0.80475986,0.83775502,1.3946488,1.3616537,0,0,0
A42067,hom,nh3n,0,0,0,0,0,0.50693941,0.52772391,0.69670373,0.67591923,0,0,0
A42071,hom,nh3n,0,0,0,0,0,0.33816582,0.45698085,4.8896952,4.7708802,0,0,0
A42097,hom,nh3n,0,0,0,0,0,16.914379,16.918768,36.053158,36.048771,0,0,0
A42113,hom,nh3n,0,0,0,0,0,6.0233684,6.1106014,7.6083035,7.5210705,0,0,0
A51001,hom,nh3n,0,0,0,0,2.3693214E-3,7.1472454,7.1487241,7.1487241,7.144876,1.2826403E-3,0,0
A51029,hom,nh3n,0,0,0,0,0.91551882,2.5181453,3.0930479,3.0930479,1.6026266,0.49697536,0,0
A51036,hom,nh3n,0,0,0,0,0.22494459,0.61806834,0.75700468,0.75700468,0.39312372,0.12186704,0,0
A51047,hom,nh3n,0,0,0,0,0.82084823,2.9742815,3.4891417,3.4891417,2.1534333,0.44536626,0,0
A10001,hom,nh3n,0,0,0,0,21.009848,21.009848,51.312405,32.277103,0,0,0,0
A24005,hom,nh3n,0,0,0,0,0,7.2102809,8.294836,8.4555111,7.3709559,0,0,0
A24019,hom,nh3n,0,0,0,0,6.192369,6.192369,22.510118,22.436905,0,0,0,0
A24025,hom,nh3n,0,0,0,0,0,2.8125439,7.0267291,7.0419292,2.8277438,0,0,0
A24039,hom,nh3n,0,0,0,0,10.242965,10.242965,11.30261,10.920326,0,0,0,0
A24043,hom,nh3n,0,0,0,0,0,5.1240336E-2,2.529582,2.6833031,0.20496136,0,0,0
A36015,hom,nh3n,0,0,0,0,0,6.4616852E-2,7.3961794E-2,5.0883217,5.0789766,0,0,0
A36023,hom,nh3n,0,0,0,0,0,0.13310303,0.14508231,0.54439139,0.53241211,0,0,0
A36051,hom,nh3n,0,0,0,0,0,1.4691771,1.4703658,31.484251,31.483063,0,0,0
A36053,hom,nh3n,0,0,0,0,0,8.0026053E-3,1.7124746E-2,11.434645,11.425523,0,0,0
A36067,hom,nh3n,0,0,0,0,0,1.9165028,1.9186413,2.1203785,2.1182401,0,0,0
A36095,hom,nh3n,0,0,0,0,0,0.31132913,0.32269263,6.2183323,6.2069688,0,0,0
A42001,hom,nh3n,0,0,0,0,0,1.0353268E-2,1.2189248E-2,4.3469921E-2,4.1633941E-2,0,0,0
A42023,hom,nh3n,0,0,0,0,0,3.6963065,3.7516129,4.6733851,4.6180787,0,0,0
A42033,hom,nh3n,0,0,0,0,0,3.0284524,3.072628,3.8258569,3.7816815,0,0,0
A42043,hom,nh3n,0,0,0,0,0,1.3162769,1.3354205,1.6629201,1.6437765,0,0,0
A42055,hom,nh3n,0,0,0,0,0,4.1960925E-2,6.2941387E-2,0.08392185,6.2941387E-2,0,0,0
A42063,hom,nh3n,0,0,0,0,0,4.3779053E-2,6.7904115E-2,0.48017246,0.45604742,0,0,0
A42069,hom,nh3n,0,0,0,0,0,0.30838689,0.3147859,0.42356938,0.41717035,0,0,0
A42081,hom,nh3n,0,0,0,0,0,0.55929726,0.58012974,0.93559766,0.91476518,0,0,0
A42087,hom,nh3n,0,0,0,0,0,2.4158625E-2,6.7436643E-2,0.80790585,0.76462781,0,0,0
A42093,hom,nh3n,0,0,0,0,0,20.218269,20.234644,20.513355,20.496981,0,0,0
A42119,hom,nh3n,0,0,0,0,0,17.214025,17.226889,38.035053,38.02219,0,0,0
A42127,hom,nh3n,0,0,0,0,0,4.8034582,4.8734474,6.0683479,5.9983587,0,0,0
A42133,hom,nh3n,0,0,0,0,0,6.7595725,7.0850334,7.5106359,7.1851749,0,0,0
A10005,hom,nh3n,0,0,0,0,37.620007,37.620007,71.691193,45.525936,0,0,0,0
A24009,hom,nh3n,0,0,0,0,0.50556797,0.50556797,2.227999,1.8579116,0,0,0,0
A24029,hom,nh3n,0,0,0,0,9.0885725,9.0885725,11.13843,10.697995,0,0,0,0
A24033,hom,nh3n,0,0,0,0,1.9463587,1.9463587,2.1276965,1.9584479,0,0,0,0
A24045,hom,nh3n,0,0,0,0,10.893542,10.893542,11.390208,11.125319,0,0,0,0
A36003,hom,nh3n,0,0,0,0,0,0.88448024,0.8976211,5.9517937,5.938653,0,0,0
A36101,hom,nh3n,0,0,0,0,0,0.35590887,0.35841137,0.41222891,0.40972641,0,0,0
A42011,hom,nh3n,0,0,0,0,0,0.2090046,0.33440736,0.45981011,0.33440736,0,0,0
A42021,hom,nh3n,0,0,0,0,0,0.37727857,0.38276449,0.47659588,0.47110993,0,0,0
A42037,hom,nh3n,0,0,0,0,0,26.17289,26.176617,26.273018,26.269291,0,0,0
A42041,hom,nh3n,0,0,0,0,0,0.42615911,0.44499534,0.65594411,0.63710791,0,0,0
A42065,hom,nh3n,0,0,0,0,0,1.2627538,1.3198934,2.2928452,2.2357056,0,0,0
A42079,hom,nh3n,0,0,0,0,0,2.9100661,2.9139805,3.2230141,3.2190998,0,0,0
A42083,hom,nh3n,0,0,0,0,0,3.1365495,3.1822095,3.9624803,3.9168203,0,0,0
A42099,hom,nh3n,0,0,0,0,0,3.8907106,3.9472537,4.9152527,4.8587098,0,0,0
A42109,hom,nh3n,0,0,0,0,0,0.44946602,0.45721066,0.4995296,0.49178496,0,0,0
A42115,hom,nh3n,0,0,0,0,0,5.9855094,6.0727167,7.561636,7.4744282,0,0,0
A51003,hom,nh3n,0,0,0,0,0.21783476,0.33940724,0.47597927,0.47597927,0.12157248,0.11820322,0,0
A51009,hom,nh3n,0,0,0,0,0.47309455,1.3004249,1.5966272,1.5966272,0.82733041,0.25657663,0,0
A51015,hom,nh3n,0,0,0,0,0.92728227,1.4303676,3.1307788,3.1307788,1.622207,1.622207,0,0
A51033,hom,nh3n,0,0,0,0,0.28526917,0.78386307,0.96190339,0.96190339,0.49859387,0.15465231,0,0
A51041,hom,nh3n,0,0,0,0,8.8761508E-2,0.37679023,0.43244609,0.43244609,0.28802872,4.8132733E-2,0,0
A51069,hom,nh3n,0,0,0,0,2.5173474E-2,3.8836755E-2,0.11263158,0.11263158,0.07166668,0.07166668,0,0
A51079,hom,nh3n,0,0,0,0,0.51259106,1.1952912,1.517884,1.517884,0.68270016,0.27844852,0,0
A51091,hom,nh3n,0,0,0,0,0.91695595,1.4144984,3.096137,3.096137,1.6043342,1.6043342,0,0
A10003,hom,nh3n,0,0,0,0,0.12161078,0.12161078,15.603326,15.565159,0,0,0,0
A24011,hom,nh3n,0,0,0,0,11.415464,11.415464,22.644157,15.66638,0,0,0,0
A24013,hom,nh3n,0,0,0,0,0,37.365372,37.444748,37.495667,37.41629,0,0,0
A24023,hom,nh3n,0,0,0,0,0,1.3351554,12.033859,45.230137,34.531433,0,0,0
A24031,hom,nh3n,0,0,0,0,0,0.84337652,1.4300731,1.8700957,1.283399,0,0,0
A24037,hom,nh3n,0,0,0,0,0.71387058,0.71387058,0.72992116,0.18680194,0,0,0,0
A24041,hom,nh3n,0,0,0,0,13.623046,13.623046,16.695457,16.035271,0,0,0,0
A36011,hom,nh3n,0,0,0,0,0,14.873674,14.874921,23.082279,23.081034,0,0,0
A36017,hom,nh3n,0,0,0,0,0,0.34021741,0.36352232,0.51542938,0.4921245,0,0,0
A36025,hom,nh3n,0,0,0,0,0,0.1249857,0.14485584,24.903921,24.88405,0,0,0
A36043,hom,nh3n,0,0,0,0,0,27.325216,27.333246,37.352253,37.344223,0,0,0
A36069,hom,nh3n,0,0,0,0,0,9.0244608,9.0250311,11.541468,11.540897,0,0,0
A36097,hom,nh3n,0,0,0,0,0,8.8033524,8.805934,12.033732,12.031151,0,0,0
A42009,hom,nh3n,0,0,0,0,0,0.1901366,0.2309209,0.92710602,0.88632172,0,0,0
A42015,hom,nh3n,0,0,0,0,0,2.7669901E-2,0.11695882,1.6412187,1.5519297,0,0,0
A42025,hom,nh3n,0,0,0,0,0,0.34441075,0.35129896,1.0401205,1.0332322,0,0,0
A42027,hom,nh3n,0,0,0,0,0,40.360798,40.373066,45.613674,45.601406,0,0,0
A42035,hom,nh3n,0,0,0,0,0,0.6736421,0.68778861,0.71181518,0.69766867,0,0,0
A42057,hom,nh3n,0,0,0,0,0,0.24492913,0.32036731,1.6037959,1.5283577,0,0,0
A42061,hom,nh3n,0,0,0,0,0,1.7876978,1.8881663,2.9607849,2.8603165,0,0,0
A42075,hom,nh3n,0,0,0,0,0,1.180076,1.2013769,2.0534172,2.0321162,0,0,0
A42105,hom,nh3n,0,0,0,0,0,2.1306474,2.1419713,2.3352585,2.3239346,0,0,0
A42107,hom,nh3n,0,0,0,0,0,0.23402305,0.2374554,0.27645925,0.27302688,0,0,0
A42111,hom,nh3n,0,0,0,0,0,3.8533673E-2,9.0898745E-2,0.98369545,0.93133038,0,0,0
A42117,hom,nh3n,0,0,0,0,0,8.6844654,8.8110361,10.971341,10.84477,0,0,0
A51049,hom,nh3n,0,0,0,0,0.52036101,1.4307348,1.7569087,1.7569087,0.91037375,0.28229961,0,0
A51053,hom,nh3n,0,0,0,0,2.4776932E-2,11.33716,11.352711,11.352711,11.312383,9.9120903,0,0
A51059,hom,nh3n,0,0,0,0,0.28775313,4.784987,4.9648328,4.9648328,4.4972339,0.15613088,0,0
