landseg,landuse,nutrient,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
B54031,hom,nh3n,0,0,0,0,0,3.5811461594199296,3.837791801832966,3.9917792064550985,3.7351335640420622,0,0,0
B24001,lwm,nh3n,0,0,0,0,2.0157714486004727,2.0157714486004727,0,0,0,0,0,0
A51181,hyw,nh3n,0,0,0,0,0,0,0,0,0,0,7.4782135669779495E-2,7.4782135669779495E-2
A51057,hyw,nh3n,0,0,0,0,0,0,0,0,0,0,1.9657470402136713E-2,1.9657470402136713E-2
A42099,hyw,nh3n,0,0,0,0,6.5511477172548405E-2,0.14340449768475444,0.14340449768475444,0.14340449768475444,0.14340449768475444,0.14340449768475444,0,0
A42079,nhy,nh3n,0,0,0,0,6.0870231791677762E-2,0.1332482254134971,0.1332482254134971,0.1332482254134971,0.1332482254134971,0.1332482254134971,0,0
B42001,nho,nh3n,0,0,0,0,0,1.1401748780171047E-2,0.0343652693212479,0.19216792347732406,0.16920440293624722,0,0,0
A51139,lwm,nh3n,0,0,0,0,0,0.11294632413436963,0.14382316375426282,0.14382316375426282,0.14382316375426282,0.14382316375426282,0,0
A36053,lwm,nh3n,0,0,0,0,1.8521265299077612E-7,1.8521265299077612E-7,0.12586438349375156,0.12586438349375156,0.12586438349375156,0.12586438349375156,0,0
A51059,hwm,nh3n,0,0,0,0,0,7.4496493287965329E-2,7.4496493287965329E-2,7.4496493287965329E-2,7.4496493287965329E-2,7.4496493287965329E-2,0,0
A36051,hom,nh3n,0,0,0,0,0,8.2619102423317798,8.3273053623854913,28.632000025743256,28.566604905689545,0,0,0
A51011,hom,nh3n,0,0,0,0,0.54662056992896102,1.3899970580317589,2.2760225143933144,2.2760225143933144,0.84337648810279786,0,0,0
A42015,nhy,nh3n,0,0,0,0,6.4890893601024874E-2,0.14204806799555347,0.14204806799555347,0.14204806799555347,0.14204806799555347,0.14204806799555347,0,0
B51023,hwm,nh3n,0,0,0,0,0,0.16428316962477507,0.16428321263391032,0.16428321263391032,0.16428321263391032,0.16428321263391032,0,0
A51139,hwm,nh3n,0,0,0,0,0,0.11294631800962761,0.14382315818617011,0.14382315818617011,0.14382315818617011,0.14382315818617011,0,0
B42001,nhi,nh3n,0,0,0,0,1.9679679148972523E-9,3.2148951100457999,3.2148951080778319,3.2148951080778319,3.2148951080778319,3.2148951080778319,0,0
A51107,hwm,nh3n,0,0,0,0,0,1.0529168507717654,1.0529168507717654,1.0529168507717654,1.0529168507717654,1.0529168507717654,0,0
B51113,hyw,nh3n,0,0,0,0,0,0,0,0,0,9.194000183470722E-3,0.01552945323039428,0.01552945323039428
B42079,hyw,nh3n,0,0,0,0,6.0870234632666761E-2,0.13324823355587437,0.13324823355587437,0.13324823355587437,0.13324823355587437,0.13324823355587437,0,0
A42113,nho,nh3n,0,0,0,0,0,0.10915914134021232,0.15531513255407892,0.47241506202860689,0.42625907081474029,0,0,0
A51145,hom,nh3n,0,0,0,0,1.045375211169191,2.658823291526017,4.3547216723631479,4.3547216723631479,1.6134480803568261,0,0,0
B51171,lwm,nh3n,0,0,0,0,0,0.56170935214277062,0.5813663381132792,0.5813663381132792,0.5813663381132792,0.5813663381132792,0,0
A51127,hwm,nh3n,0,0,0,0,0,3.9118187676006966,4.5823206111547208,4.5823206111547208,4.5823206111547208,4.5823206111547208,0,0
A51165,hom,nh3n,0,0,0,0,0.2566813973012842,0.2566813973012842,0.7330210830183973,0.7330210830183973,6.0495263890162618E-2,6.0495263890162618E-2,0,0
A51193,lwm,nh3n,0,0,0,0,0,3.1977696463113578,4.0430489161050396,4.0430489161050396,4.0430489161050396,4.0430489161050396,0,0
A24011,hom,nh3n,0,0,0,0,13.02297106194268,13.02297106194268,17.976542809191713,12.276760290157977,0,0,0,0
A42087,hom,nh3n,0,0,0,0,0,0.10433839024478088,0.61371843445938279,4.114479929524947,3.6050998853103455,0,0,0
A24019,hyw,nh3n,0,0,0,0,5.1653199797098764E-3,5.1653199797098764E-3,5.1653199797098764E-3,5.1653199797098764E-3,5.1653199797098764E-3,5.1653199797098764E-3,0,0
A24047,hom,nh3n,0,0,0,0,2.6097552209180752,2.6097552209180752,3.7380889328619542,3.7380889328619542,0,0,0,0
A51137,hyw,nh3n,0,0,0,0,0,0,0,0,0,9.6907296405627091E-3,1.6367590140358705E-2,1.6367590140358705E-2
A51121,lwm,nh3n,0,0,0,0,0,2.0364450001674188E-2,2.1009333912704292E-2,2.1009333912704292E-2,2.1009333912704292E-2,2.1009333912704292E-2,0,0
A51111,hyw,nh3n,0,0,0,0,0,0,0,0,0,9.3444223527992913E-3,1.5786186402227561E-2,1.5786186402227561E-2
A42133,hyw,nh3n,0,0,0,0,7.0064093709535882E-2,0.15337147843458071,0.15337147843458071,0.15337147843458071,0.15337147843458071,0.15337147843458071,0,0
A36067,hom,nh3n,0,0,0,0,0,1.1741148347073744,1.2970055420370505,1.9623373538976847,1.8394466465680086,0,0,0
A42035,nhy,nh3n,0,0,0,0,0.15271320159198976,0.33431327317501258,0.33431327317501258,0.33431327317501258,0.33431327317501258,0.33431327317501258,0,0
A51079,hom,nh3n,0,0,0,0,0.67988166588820764,1.7282375518047035,2.8292326477568412,2.8292326477568412,1.0483558859164959,0,0,0
A36065,hyw,nh3n,0,0,0,0,0.11078098031604244,0.11078098031604244,0.11078098031604244,0.11078098031604244,9.5905847884115644E-2,9.5905847884115644E-2,0,0
B51139,hom,nh3n,0,0,0,0,0.63804249064938912,0.63804249064938912,2.6574577235863117,2.6574577235863117,0.98496497871257982,0.98496497871257982,0,0
A42067,nho,nh3n,0,0,0,0,0,0.14084270737837343,0.37464158418308169,1.9810933045935366,1.7472944277888283,0,0,0
A42087,nhy,nh3n,0,0,0,0,0.14486524803246156,0.31711385981105533,0.31711385981105533,0.31711385981105533,0.31711385981105533,0.31711385981105533,0,0
A51125,hwm,nh3n,0,0,0,0,0,0.37751937857017237,0.37751947771892952,0.37751947771892952,0.37751947771892952,0.37751947771892952,0,0
A42023,hwm,nh3n,0,0,0,0,0,3.2620593564107715E-2,0.33768300624842279,0.33768300624842279,0.33768300624842279,0.33768300624842279,0,0
A42009,nhi,nh3n,0,0,0,0,3.6473678371921159E-8,0.44296735897632372,0.44296732250264537,0.44296732250264537,0.44296732250264537,0.44296732250264537,0,0
B42027,nhy,nh3n,0,0,0,0,0.13417862792265142,0.29372092304196706,0.29372092304196706,0.29372092304196706,0.29372092304196706,0.29372092304196706,0,0
A42093,nhy,nh3n,0,0,0,0,0.0492384632541484,0.10779849143433415,0.10779849143433415,0.10779849143433415,0.10779849143433415,0.10779849143433415,0,0
A42111,hom,nh3n,0,0,0,0,0,0.23665278375123686,0.94069475121499035,5.7788241595113945,5.0747821920476408,0,0,0
A36015,hwm,nh3n,0,0,0,0,0,0,0.24719235060102093,0.24719235060102093,0.24719235060102093,0.24719235060102093,0,0
A51095,lwm,nh3n,0,0,0,0,0,4.4772628770315723,5.2338621750120282,5.2338621750120282,5.2338621750120282,5.2338621750120282,0,0
A51047,hom,nh3n,0,0,0,0,0.92792845241666422,0.98677015098367504,2.4900976589566906,2.4900976589566906,5.8841698567010874E-2,0,0,0
A51071,hyw,nh3n,0,0,0,0,0,0,0,0,0,2.7396450770202883E-2,4.6289091350301154E-2,4.6289091350301154E-2
A42025,hwm,nh3n,0,0,0,0,4.1289577672586502E-9,0.88340429155512945,0.88340428742617172,0.88340428742617172,0.88340428742617172,0.88340428742617172,0,0
A24005,hwm,nh3n,0,0,0,0,0,1.5523891053549199,1.5523891053549199,1.5523891053549199,1.5523891053549199,1.5523891053549199,0,0
A42047,nlo,nh3n,0,0,0,0,0.12654918226971451,0.12654922036388636,0.47279887840720075,0.47279887840720075,0.47279887840720075,0.47279887840720075,0,0
A51121,hom,nh3n,0,0,0,0,1.198835057741352,1.198835057741352,4.9927259526335215,4.9927259526335215,1.8501815040489109,1.8501815040489109,0,0
A42047,nhy,nh3n,0,0,0,0,6.1664212204828664E-2,0.13497329188047602,0.13497329188047602,0.13497329188047602,0.13497329188047602,0.13497329188047602,0,0
B42081,hom,nh3n,0,0,0,0,0,2.1544944150122096,2.4484515313476556,4.4687366614861377,4.1747795451506917,0,0,0
B51139,hwm,nh3n,0,0,0,0,0,0.11294631800962761,0.14382315818617011,0.14382315818617011,0.14382315818617011,0.14382315818617011,0,0
A51043,lwm,nh3n,0,0,0,0,0,1.7774706109816608E-2,1.7774707122529002E-2,1.7774707122529002E-2,1.7774707122529002E-2,1.7774707122529002E-2,0,0
A42097,nho,nh3n,0,0,0,0,0,19.373582886109567,19.433598635998738,42.441123002465886,42.381107252576712,0,0,0
A51011,lwm,nh3n,0,0,0,0,0,1.0102010968597197,1.0102010968597197,1.0102010968597197,1.0102010968597197,1.0102010968597197,0,0
A51017,hyw,nh3n,0,0,0,0,0,0,0,0,0,1.1664281713415315E-2,0.01970520816915983,0.01970520816915983
A42033,nhy,nh3n,0,0,0,0,6.8395811631038403E-2,0.14971931176016517,0.14971931176016517,0.14971931176016517,0.14971931176016517,0.14971931176016517,0,0
B42015,nho,nh3n,0,0,0,0,0,0.42239239621575747,1.8330423806049783,11.527229383327684,10.116579398938464,0,0,0
A24003,hom,nh3n,0,0,0,0,3.5782882983586135,3.5782882983586135,4.4817514647362788,3.106688712528602,0,0,0,0
B42043,hwm,nh3n,0,0,0,0,1.453859983112335E-9,3.3255642350840384,3.3255642336301787,3.3255642336301787,3.3255642336301787,3.3255642336301787,0,0
B51125,hom,nh3n,0,0,0,0,0.12929599747811546,0.32874642535500642,0.5382429697105926,0.5382429697105926,0.19945042787689093,0,0,0
A51153,hwm,nh3n,0,0,0,0,0,1.073850014131825,1.2351771123367969,1.2351771123367969,1.2351771123367969,1.2351771123367969,0,0
A42083,lwm,nh3n,0,0,0,0,0,0.13577920858341241,1.4038359355685033,1.4038359355685033,1.4038359355685033,1.4038359355685033,0,0
A42009,nho,nh3n,0,0,0,0,0,0.21122059551709521,0.83161771627876413,5.0948941723532863,4.4744970515916176,0,0,0
A36025,hwm,nh3n,0,0,0,0,4.0179183744143942E-8,4.0179183744143942E-8,0.71211012119733619,0.71211012119733619,0.71211012119733619,0.71211012119733619,0,0
A42055,hyw,nh3n,0,0,0,0,8.4095366101649804E-2,0.18408735215496957,0.18408735215496957,0.18408735215496957,0.18408735215496957,0.18408735215496957,0,0
A42081,nhi,nh3n,0,0,0,0,4.1977628225044092E-9,1.1468181199383091E-2,2.0025577633490941,2.0025577633490941,2.0025577633490941,2.0025577633490941,0,0
A42063,lwm,nh3n,0,0,0,0,0,0.6914387563666563,0.6914387563666563,0.6914387563666563,0.6914387563666563,0.6914387563666563,0,0
A42047,lwm,nh3n,0,0,0,0,0.12654918513772156,0.12654922323189485,0.47279886508137409,0.47279886508137409,0.47279886508137409,0.47279886508137409,0,0
A42081,hyw,nh3n,0,0,0,0,0.0768569988378979,0.16824268565384093,0.16824268565384093,0.16824268565384093,0.16824268565384093,0.16824268565384093,0,0
C42009,hom,nh3n,0,0,0,0,0,0.21122060994638786,0.83161770055567041,5.0948943060470286,4.4744972154377463,0,0,0
A51045,hom,nh3n,0,0,0,0,0.94630435359739073,0.94630435359739073,3.9376457615736866,3.9376457615736866,1.4591219114981711,1.4591219114981711,0,0
A42111,lwm,nh3n,0,0,0,0,3.250533322293161E-8,2.9704582833293271E-2,0.45007998520034481,0.45007998520034481,0.45007998520034481,0.45007998520034481,0,0
A51005,lwm,nh3n,0,0,0,0,0,6.3228188611638106E-2,0.56069184267179384,0.56069184267179384,0.56069184267179384,0.56069184267179384,0,0
A42099,nho,nh3n,0,0,0,0,0,1.1709422166692032,1.6660046439698823,5.0679485664808421,4.572886139180163,0,0,0
A24009,hom,nh3n,0,0,0,0,8.8087788021705513E-2,8.8087788021705513E-2,1.0403167765363421,1.0403167765363421,0,0,0,0
B54071,nho,nh3n,0,0,0,0,0,4.9568142848161365,5.3124875637741535,5.5263804099243856,5.1707071309663686,0,0,0
A36095,hwm,nh3n,0,0,0,0,0,0,0.31167481656685736,0.31167481656685736,0.31167481656685736,0.31167481656685736,0,0
A42041,nhy,nh3n,0,0,0,0,0.12154989162381426,0.20818244394592955,0.20818244394592955,0.20818244394592955,0.20818244394592955,0.20818244394592955,0,0
A51059,hom,nh3n,0,0,0,0,0.12324225536865605,2.3045211359965463,2.5041081660553761,2.5041081660553761,2.1812788806278904,0,0,0
A42027,nho,nh3n,0,0,0,0,0,26.953462979060436,27.090917229030918,65.086062063119513,64.948607813149025,0,0,0
A51161,hom,nh3n,0,0,0,0,0.10886421659181923,0.10886421659181923,1.6491145431526784,1.6491145431526784,1.3634246378470445,1.3634246378470445,0,0
A24021,hwm,nh3n,0,0,0,0,9.7398847432575326E-3,0.85393746679425098,0.84419758205099349,0.84419758205099349,0.84419758205099349,0.84419758205099349,0,0
A51127,hom,nh3n,0,0,0,0,0.08375452081669274,0.21319333168773347,0.34915847662493971,0.34915847662493971,0.12943881087104073,0,0,0
B24021,hom,nh3n,0,0,0,0,0,3.1061971787446865,3.1061971787446865,15.67097184657886,15.67097184657886,0,0,0
A36043,hwm,nh3n,0,0,0,0,2.9733522906663713E-7,2.9733522906663713E-7,0.26691728336328246,0.26691728336328246,0.26691728336328246,0.26691728336328246,0,0
A24023,hom,nh3n,0,0,0,0,0,0.63794675712521076,0.63794675712521076,15.47786477514509,15.47786477514509,0,0,0
A51015,hyw,nh3n,0,0,0,0,0,0,0,0,0,1.6032474190059494E-2,2.7083836044830931E-2,2.7083836044830931E-2
A51109,hom,nh3n,0,0,0,0,0.5433334668228903,1.381757224185149,2.2622054785100807,2.2622054785100807,0.83842375736225871,0,0,0
A51007,hom,nh3n,0,0,0,0,0.23801170233851149,0.60534769145032441,0.99125688039408932,0.99125688039408932,0.36733598911181292,0,0,0
A51091,hyw,nh3n,0,0,0,0,0,0,0,0,0,3.4377296770516035E-2,5.8078890278243041E-2,5.8078890278243041E-2
A51005,hwm,nh3n,0,0,0,0,0,6.3228184046836125E-2,0.56069185219004702,0.56069185219004702,0.56069185219004702,0.56069185219004702,0,0
A42107,hyw,nh3n,0,0,0,0,3.9847707690479538E-2,8.7227071237842041E-2,8.7227071237842041E-2,8.7227071237842041E-2,8.7227071237842041E-2,8.7227071237842041E-2,0,0
B51015,hyw,nh3n,0,0,0,0,0,0,0,0,0,1.6032474190059494E-2,2.7083836044830931E-2,2.7083836044830931E-2
A42015,nlo,nh3n,0,0,0,0,4.6768814178904853E-8,3.6653425515775072E-2,0.16157287986078608,0.16157287986078608,0.16157287986078608,0.16157287986078608,0,0
A36007,hom,nh3n,0,0,0,0,0,16.018663652907335,16.575172030328819,21.854887637527781,21.298379260106302,0,0,0
A42133,lwm,nh3n,0,0,0,0,1.4379695746773637E-2,3.5188399772636902,3.5044602815169168,3.5044602815169168,3.5044602815169168,3.5044602815169168,0,0
A51061,hwm,nh3n,0,0,0,0,0,0.61250426725212603,0.67195380203681188,0.67195380203681188,0.67195380203681188,0.67195380203681188,0,0
A51036,hwm,nh3n,0,0,0,0,0,3.1535381946124672,4.3507995381499462,4.3507995381499462,4.3507995381499462,4.3507995381499462,0,0
