land,for,hvf,pas,npa,urs,afo,trp,alf,nal,hyw,nhy,hyo,hom,nho,hwm,nhi,lwm,nlo,pul,puh,ext,bar,iml,imh,css
A10001,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV,,,,,
A10003,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV,,,,,
A10005,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV,,,,,
A11001,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV,,,,,
A24001,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV,,,,,
A24003,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV,,,,,
A24005,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV,,,,,
A24009,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV,,,,,
A24011,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV,,,,,
A24013,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV,,,,,
A24015,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV,,,,,
A24017,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV,,,,,
A24019,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV,,,,,
A24021,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV,,,,,
A24023,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV,,,,,
A24025,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A24027,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A24029,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A24031,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A24033,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A24035,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A24037,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A24039,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A24041,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A24043,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A24045,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A24047,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A24510,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36003,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36007,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36015,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36017,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36023,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36025,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36043,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36051,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36053,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36065,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36067,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36069,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
