rseg,lseg,landuse_type,shortName,Acres
EL2_4590_0001,A24011,alf,ConPlan,47.201183
EL2_4590_0001,A24011,hom,ConPlan,245.07541
EL2_4590_0001,A24011,hwm,ConPlan,1499.4607
EL2_4590_0001,A24011,hyo,ConPlan,83.490067
EL2_4590_0001,A24011,hyw,ConPlan,68.39814
EL2_4590_0001,A24011,lwm,ConPlan,2163.1531
EL2_4590_0001,A24011,nal,ConPlan,0
EL2_4590_0001,A24011,nhi,ConPlan,0
EL2_4590_0001,A24011,nho,ConPlan,0
EL2_4590_0001,A24011,nhy,ConPlan,0
EL2_4590_0001,A24011,nlo,ConPlan,0
EL2_4590_0001,A24011,npa,ConPlan,0
EL2_4590_0001,A24011,pas,ConPlan,124.78634
EL0_4591_0000,A24011,alf,ConPlan,37.26186
EL0_4591_0000,A24011,hom,ConPlan,193.46898
EL0_4591_0000,A24011,hwm,ConPlan,1183.7141
EL0_4591_0000,A24011,hyo,ConPlan,65.909264
EL0_4591_0000,A24011,hyw,ConPlan,53.995296
EL0_4591_0000,A24011,lwm,ConPlan,1707.6501
EL0_4591_0000,A24011,nal,ConPlan,0
EL0_4591_0000,A24011,nhi,ConPlan,0
EL0_4591_0000,A24011,nho,ConPlan,0
EL0_4591_0000,A24011,nhy,ConPlan,0
EL0_4591_0000,A24011,nlo,ConPlan,0
EL0_4591_0000,A24011,npa,ConPlan,0
EL0_4591_0000,A24011,pas,ConPlan,98.509621
EL0_4591_0000,A24019,alf,ConPlan,25.281317
EL0_4591_0000,A24019,hom,ConPlan,393.56601
EL0_4591_0000,A24019,hwm,ConPlan,2711.1443
EL0_4591_0000,A24019,hyo,ConPlan,257.08145
EL0_4591_0000,A24019,hyw,ConPlan,96.49807
EL0_4591_0000,A24019,lwm,ConPlan,3403.7209
EL0_4591_0000,A24019,nal,ConPlan,0
EL0_4591_0000,A24019,nhi,ConPlan,0
EL0_4591_0000,A24019,nho,ConPlan,0
EL0_4591_0000,A24019,nhy,ConPlan,0
EL0_4591_0000,A24019,nlo,ConPlan,0
EL0_4591_0000,A24019,npa,ConPlan,0
EL0_4591_0000,A24019,pas,ConPlan,105.81779
EL0_4592_0000,A24019,alf,ConPlan,5.2082534
EL0_4592_0000,A24019,hom,ConPlan,81.079292
EL0_4592_0000,A24019,hwm,ConPlan,558.52789
EL0_4592_0000,A24019,hyo,ConPlan,52.961845
EL0_4592_0000,A24019,hyw,ConPlan,19.879755
EL0_4592_0000,A24019,lwm,ConPlan,701.20721
EL0_4592_0000,A24019,nal,ConPlan,0
EL0_4592_0000,A24019,nhi,ConPlan,0
EL0_4592_0000,A24019,nho,ConPlan,0
EL0_4592_0000,A24019,nhy,ConPlan,0
EL0_4592_0000,A24019,nlo,ConPlan,0
EL0_4592_0000,A24019,npa,ConPlan,0
EL0_4592_0000,A24019,pas,ConPlan,21.79973
EL0_4593_0000,A24019,alf,ConPlan,3.2737439
EL0_4593_0000,A24019,hom,ConPlan,50.96389
EL0_4593_0000,A24019,hwm,ConPlan,351.07288
EL0_4593_0000,A24019,hyo,ConPlan,33.29015
EL0_4593_0000,A24019,hyw,ConPlan,12.495787
EL0_4593_0000,A24019,lwm,ConPlan,440.75684
EL0_4593_0000,A24019,nal,ConPlan,0
EL0_4593_0000,A24019,nhi,ConPlan,0
EL0_4593_0000,A24019,nho,ConPlan,0
EL0_4593_0000,A24019,nhy,ConPlan,0
EL0_4593_0000,A24019,nlo,ConPlan,0
EL0_4593_0000,A24019,npa,ConPlan,0
EL0_4593_0000,A24019,pas,ConPlan,13.702623
EL0_4593_0000,A24045,alf,ConPlan,1.3950022
EL0_4593_0000,A24045,hom,ConPlan,13.768298
EL0_4593_0000,A24045,hwm,ConPlan,235.68471
EL0_4593_0000,A24045,hyo,ConPlan,13.545303
EL0_4593_0000,A24045,hyw,ConPlan,4.5082111
EL0_4593_0000,A24045,lwm,ConPlan,67.918961
EL0_4593_0000,A24045,nal,ConPlan,0
EL0_4593_0000,A24045,nhi,ConPlan,0
EL0_4593_0000,A24045,nho,ConPlan,0
EL0_4593_0000,A24045,nhy,ConPlan,0
EL0_4593_0000,A24045,nlo,ConPlan,0
EL0_4593_0000,A24045,npa,ConPlan,0
EL0_4593_0000,A24045,pas,ConPlan,7.6606359
EL0_4594_0000,A24045,alf,ConPlan,9.5169716
EL0_4594_0000,A24045,hom,ConPlan,93.929955
EL0_4594_0000,A24045,hwm,ConPlan,1607.8871
EL0_4594_0000,A24045,hyo,ConPlan,92.408646
EL0_4594_0000,A24045,hyw,ConPlan,30.755877
EL0_4594_0000,A24045,lwm,ConPlan,463.35571
EL0_4594_0000,A24045,nal,ConPlan,0
EL0_4594_0000,A24045,nhi,ConPlan,0
EL0_4594_0000,A24045,nho,ConPlan,0
EL0_4594_0000,A24045,nhy,ConPlan,0
EL0_4594_0000,A24045,nlo,ConPlan,0
EL0_4594_0000,A24045,npa,ConPlan,0
EL0_4594_0000,A24045,pas,ConPlan,52.262321
EL0_4595_0000,A24045,alf,ConPlan,7.2109756
EL0_4595_0000,A24045,hom,ConPlan,71.170395
EL0_4595_0000,A24045,hwm,ConPlan,1218.2904
EL0_4595_0000,A24045,hyo,ConPlan,70.0177
EL0_4595_0000,A24045,hyw,ConPlan,23.303617
EL0_4595_0000,A24045,lwm,ConPlan,351.08295
EL0_4595_0000,A24045,nal,ConPlan,0
EL0_4595_0000,A24045,nhi,ConPlan,0
EL0_4595_0000,A24045,nho,ConPlan,0
EL0_4595_0000,A24045,nhy,ConPlan,0
EL0_4595_0000,A24045,nlo,ConPlan,0
EL0_4595_0000,A24045,npa,ConPlan,0
EL0_4595_0000,A24045,pas,ConPlan,39.598976
EL0_4596_0000,A24045,alf,ConPlan,1.8896859
EL0_4596_0000,A24045,hom,ConPlan,18.650692
EL0_4596_0000,A24045,hwm,ConPlan,319.26123
EL0_4596_0000,A24045,hyo,ConPlan,18.348621
EL0_4596_0000,A24045,hyw,ConPlan,6.1068735
EL0_4596_0000,A24045,lwm,ConPlan,92.003746
EL0_4596_0000,A24045,nal,ConPlan,0
EL0_4596_0000,A24045,nhi,ConPlan,0
EL0_4596_0000,A24045,nho,ConPlan,0
EL0_4596_0000,A24045,nhy,ConPlan,0
EL0_4596_0000,A24045,nlo,ConPlan,0
EL0_4596_0000,A24045,npa,ConPlan,0
EL0_4596_0000,A24045,pas,ConPlan,10.377185
EL2_4630_0000,A24011,alf,ConPlan,1.087878
EL2_4630_0000,A24011,hom,ConPlan,5.6484213
EL2_4630_0000,A24011,hwm,ConPlan,34.559002
EL2_4630_0000,A24011,hyo,ConPlan,1.9242527
EL2_4630_0000,A24011,hyw,ConPlan,1.5764186
EL2_4630_0000,A24011,lwm,ConPlan,49.855736
EL2_4630_0000,A24011,nal,ConPlan,0
EL2_4630_0000,A24011,nhi,ConPlan,0
EL2_4630_0000,A24011,nho,ConPlan,0
EL2_4630_0000,A24011,nhy,ConPlan,0
EL2_4630_0000,A24011,nlo,ConPlan,0
EL2_4630_0000,A24011,npa,ConPlan,0
EL2_4630_0000,A24011,pas,ConPlan,2.8760362
EL2_4630_0000,A24019,alf,ConPlan,1.2558323
EL2_4630_0000,A24019,hom,ConPlan,19.550125
EL2_4630_0000,A24019,hwm,ConPlan,134.67424
EL2_4630_0000,A24019,hyo,ConPlan,12.770346
EL2_4630_0000,A24019,hyw,ConPlan,4.7934761
EL2_4630_0000,A24019,lwm,ConPlan,169.07736
EL2_4630_0000,A24019,nal,ConPlan,0
EL2_4630_0000,A24019,nhi,ConPlan,0
EL2_4630_0000,A24019,nho,ConPlan,0
EL2_4630_0000,A24019,nhy,ConPlan,0
EL2_4630_0000,A24019,nlo,ConPlan,0
EL2_4630_0000,A24019,npa,ConPlan,0
EL2_4630_0000,A24019,pas,ConPlan,5.2564273
EL2_4630_0000,A24045,alf,ConPlan,7.5284056E-2
EL2_4630_0000,A24045,hom,ConPlan,0.74303341
EL2_4630_0000,A24045,hwm,ConPlan,12.719313
EL2_4630_0000,A24045,hyo,ConPlan,0.73099905
EL2_4630_0000,A24045,hyw,ConPlan,0.24329452
EL2_4630_0000,A24045,lwm,ConPlan,3.6653268
EL2_4630_0000,A24045,nal,ConPlan,0
EL2_4630_0000,A24045,nhi,ConPlan,0
EL2_4630_0000,A24045,nho,ConPlan,0
EL2_4630_0000,A24045,nhy,ConPlan,0
EL2_4630_0000,A24045,nlo,ConPlan,0
EL2_4630_0000,A24045,npa,ConPlan,0
EL2_4630_0000,A24045,pas,ConPlan,0.41342139
EL0_4633_0000,A24045,alf,ConPlan,0.93936521
EL0_4633_0000,A24045,hom,ConPlan,9.2712822
EL0_4633_0000,A24045,hwm,ConPlan,158.70526
EL0_4633_0000,A24045,hyo,ConPlan,9.1211224
EL0_4633_0000,A24045,hyw,ConPlan,3.0357347
EL0_4633_0000,A24045,lwm,ConPlan,45.735039
EL0_4633_0000,A24045,nal,ConPlan,0
EL0_4633_0000,A24045,nhi,ConPlan,0
EL0_4633_0000,A24045,nho,ConPlan,0
EL0_4633_0000,A24045,nhy,ConPlan,0
EL0_4633_0000,A24045,nlo,ConPlan,0
EL0_4633_0000,A24045,npa,ConPlan,0
EL0_4633_0000,A24045,pas,ConPlan,5.1585112
EL0_5040_0000,A24045,alf,ConPlan,8.2236595
EL0_5040_0000,A24045,hom,ConPlan,81.165314
EL0_5040_0000,A24045,hwm,ConPlan,1389.3826
EL0_5040_0000,A24045,hyo,ConPlan,79.850739
EL0_5040_0000,A24045,hyw,ConPlan,26.576296
EL0_5040_0000,A24045,lwm,ConPlan,400.38806
EL0_5040_0000,A24045,nal,ConPlan,0
EL0_5040_0000,A24045,nhi,ConPlan,0
EL0_5040_0000,A24045,nho,ConPlan,0
EL0_5040_0000,A24045,nhy,ConPlan,0
EL0_5040_0000,A24045,nlo,ConPlan,0
EL0_5040_0000,A24045,npa,ConPlan,0
EL0_5040_0000,A24045,pas,ConPlan,45.160114
EL2_5110_5270,A24045,alf,ConPlan,7.1935596
EL2_5110_5270,A24045,hom,ConPlan,70.998505
EL2_5110_5270,A24045,hwm,ConPlan,1215.3481
EL2_5110_5270,A24045,hyo,ConPlan,69.848587
EL2_5110_5270,A24045,hyw,ConPlan,23.247334
EL2_5110_5270,A24045,lwm,ConPlan,350.23502
EL2_5110_5270,A24045,nal,ConPlan,0
EL2_5110_5270,A24045,nhi,ConPlan,0
EL2_5110_5270,A24045,nho,ConPlan,0
EL2_5110_5270,A24045,nhy,ConPlan,0
EL2_5110_5270,A24045,nlo,ConPlan,0
EL2_5110_5270,A24045,npa,ConPlan,0
EL2_5110_5270,A24045,pas,ConPlan,39.503334
EL2_5110_5270,A24047,alf,ConPlan,1.0925024
EL2_5110_5270,A24047,hom,ConPlan,17.664816
EL2_5110_5270,A24047,hwm,ConPlan,526.95734
EL2_5110_5270,A24047,hyo,ConPlan,20.337559
EL2_5110_5270,A24047,hyw,ConPlan,5.9905801
EL2_5110_5270,A24047,lwm,ConPlan,128.71259
EL2_5110_5270,A24047,nal,ConPlan,0
EL2_5110_5270,A24047,nhi,ConPlan,0
EL2_5110_5270,A24047,nho,ConPlan,0
EL2_5110_5270,A24047,nhy,ConPlan,0
EL2_5110_5270,A24047,nlo,ConPlan,0
EL2_5110_5270,A24047,npa,ConPlan,0
EL2_5110_5270,A24047,pas,ConPlan,41.543159
EL1_5150_0001,A24019,alf,ConPlan,6.6146364
EL1_5150_0001,A24019,hom,ConPlan,102.97311
