BMPFullane,BMP Shortname,Landuse_Type,HGMR,TN,TP,BOD,SED
Barnyard Runoff Control,BarnRunoffCont,afocafo,all,0.2,0.2,0.2,0.4
Irrigation water Capture Reuse,CaptureReuse,urs,all,0.75,0.75,0.75,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,high,APCN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,high,APSN,0.13,0,0.065,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,high,BR_N,0.13,0,0.065,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,high,CPDN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,high,CPDT,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,high,CPLN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,high,CPLT,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,high,CPUN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,high,CPUT,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,high,ML_N,0.13,0,0.065,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,high,PCAN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,high,PCRN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,high,VRCN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,high,VRSN,0.13,0,0.065,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,low,APCN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,low,APSN,0.13,0,0.065,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,low,BR_N,0.13,0,0.065,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,low,CPDN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,low,CPDT,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,low,CPLN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,low,CPLT,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,low,CPUN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,low,CPUT,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,low,ML_N,0.13,0,0.065,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,low,PCAN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,low,PCRN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,low,VRCN,0.17,0,0.085,0
Commodity Cover Crop Early Drilled Wheat,ComCovCropEDW,low,VRSN,0.13,0,0.065,0
Commodity Cover Crop Early-Planting Other Barley,ComCovCropEOB,high,APCN,0.15,0,0.075,0
Commodity Cover Crop Early-Planting Other Barley,ComCovCropEOB,high,APSN,0.11,0,0.055,0
Commodity Cover Crop Early-Planting Other Barley,ComCovCropEOB,high,BR_N,0.11,0,0.055,0
Commodity Cover Crop Early-Planting Other Barley,ComCovCropEOB,high,CPDN,0.15,0,0.075,0
Commodity Cover Crop Early-Planting Other Barley,ComCovCropEOB,high,CPDT,0.15,0,0.075,0
Commodity Cover Crop Early-Planting Other Barley,ComCovCropEOB,high,CPLN,0.15,0,0.075,0
Commodity Cover Crop Early-Planting Other Barley,ComCovCropEOB,high,CPLT,0.15,0,0.075,0
Commodity Cover Crop Early-Planting Other Barley,ComCovCropEOB,high,CPUN,0.15,0,0.075,0
Commodity Cover Crop Early-Planting Other Barley,ComCovCropEOB,high,CPUT,0.15,0,0.075,0
Commodity Cover Crop Early-Planting Other Barley,ComCovCropEOB,high,ML_N,0.11,0,0.055,0
Commodity Cover Crop Early-Planting Other Barley,ComCovCropEOB,high,PCAN,0.15,0,0.075,0
Commodity Cover Crop Early-Planting Other Barley,ComCovCropEOB,high,PCRN,0.15,0,0.075,0
Commodity Cover Crop Early-Planting Other Barley,ComCovCropEOB,high,VRCN,0.15,0,0.075,0
Commodity Cover Crop Early-Planting Other Barley,ComCovCropEOB,high,VRSN,0.11,0,0.055,0
Commodity Cover Crop Early-Planting Other Barley,ComCovCropEOB,low,APCN,0.15,0,0.075,0
