riverseg,landseg,for,hvf,hwm,nhi,lwm,nlo,hom,nho,hyw,nhy,hyo,alf,nal,pas,npa,trp,urs,afo,cfo,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,wat
DE0_3380_0000,A10001,4226.7031,42.694,3954.95,0,5447.4019,0,1207.29,0,188.814,0,243.043,194.311,0,476.45001,0,0,10.854,11.609,0,0,0,45.330002,0,1907,757,0,0,0,0,0,235.73801
DE0_3410_0000,A10001,30775.945,310.86801,8827.2031,0,12158.264,0,2694.595,0,421.42001,0,542.45599,433.689,0,1063.408,0,0,24.226,25.91,0,0,0,83.105003,0,3714,1090,175.024,0,0,0,0,4136.9731
DE0_3790_0000,A10001,7780.9121,78.595001,5596.8779,0,7708.9351,0,1708.506,0,267.20099,0,343.944,274.98001,0,674.25299,0,0,15.361,16.428,0,0,0,135.99001,0,8233,3252,282.88501,0,0,0,0,802.62
DE0_3791_0001,A10001,6859.187,69.285004,2805.592,0,3864.3191,0,856.43597,0,133.942,0,172.411,137.842,0,337.98801,0,0,7.6999998,8.235,0,0,0,128.435,0,3371,1450,53.152,0,0,0,0,175.246
DE0_3840_0000,A10001,4172.9341,42.151001,1970.285,0,2713.7981,0,601.45001,0,94.064003,0,121.08,96.802002,0,237.35899,0,0,5.4070001,5.783,0,0,0,52.884998,0,2853,920,53.819,0,0,0,0,1010.113
DE0_4140_0000,A10001,14791.206,149.40601,10502.757,0,14466.11,0,3206.0759,0,501.41299,0,645.42401,516.01099,0,1265.26,0,0,28.825001,30.828,0,0,0,105.77,0,6313,1598,195.26199,0,0,0,0,726.56097
DE0_4141_0001,A10001,3932.4551,39.722,2819.75,0,3883.8191,0,860.758,0,134.618,0,173.282,138.537,0,339.69299,0,0,7.7389998,8.277,0,0,0,7.5549998,0,606,210,14.9,0,0,0,0,108.306
DE0_4230_0000,A10001,11240.551,113.541,3417.6931,0,4707.4038,0,1043.286,0,163.164,0,210.02699,167.91499,0,411.72699,0,0,9.3800001,10.032,0,0,0,30.219999,0,1931,830,0,0,0,0,0,800.396
DE0_4231_0001,A10001,905.10199,9.1420002,595.28802,0,819.92902,0,181.718,0,28.42,0,36.582001,29.247,0,71.713997,0,0,1.6339999,1.747,0,0,0,0.75599998,0,86.5,33.900002,0,0,0,0,0,0
EL0_4560_4562,A10001,2914.0061,29.434,1413.8571,0,1947.394,0,431.59399,0,67.499001,0,86.885002,69.463997,0,170.326,0,0,3.8800001,4.15,0,0,0,3.0220001,0,309,105.9,0,0,0,0,0,2.224
EL2_4400_4590,A10001,10860.186,109.699,6077.4312,0,8370.8291,0,1855.199,0,290.14301,0,373.47501,298.59,0,732.14398,0,0,16.68,17.839,0,0,0,15.11,0,1067,368,0,0,0,0,0,2.0020001
EL2_4590_0001,A10001,3862.8989,39.019001,1620.913,0,2232.5869,0,494.80099,0,77.384003,0,99.610001,79.637001,0,195.27,0,0,4.4489999,4.758,0,0,0,1.511,0,148,89.900002,0,0,0,0,0,0
EM2_3980_0001,A10001,21722.893,219.423,8470.8262,0,11667.404,0,2585.8081,0,404.40701,0,520.55603,416.17999,0,1020.475,0,0,23.247999,24.864,0,0,0,22.665001,0,2267,780,20.238001,0,0,0,0,66.273003
EM3_4326_0000,A10001,3744.498,37.823002,2717.696,0,3743.2539,0,829.60498,0,129.746,0,167.00999,133.52299,0,327.39899,0,0,7.4590001,7.977,0,0,0,0,0,377,164,0,0,0,0,0,0.222
EU2_3520_0001,A10001,8311.8838,83.958,3241.7539,0,4465.0718,0,989.57898,0,154.765,0,199.215,159.271,0,390.53201,0,0,8.8970003,9.515,0,0,0,7.5549998,0,699,262,0,0,0,0,0,13.121
DE0_2590_0000,A10003,541.04999,5.4650002,28.962,0,29.777,0,2.9619999,0,5.836,0,1.456,0.90899998,0,3.3959999,0,0,0.066,4.60E-02,0,0,0,30.219999,0,4286,1559,0,0,0,0,0,12.009
