specifier,FLOW,HEAT,NH3X,NO23,ORGN,TOTN,PO4X,ORGP,TOTP,TSSX,ORGC,TSED,acre
for, 0.1232313E+05, 0.1304809E+06, 0.8686592E+03, 0.7326161E+04, 0.7574279E+04, 0.1576910E+05, 0.4610685E+03, 0.1466527E+03, 0.6077211E+03, 0.6541598E+06, 0.1225528E+06, 0.3262590E+03, 0.1098865E+05
hvf, 0.1358945E+03, 0.1466199E+04, 0.6591543E+02, 0.1205935E+04, 0.3294262E+03, 0.1601278E+04, 0.4719908E+02, 0.9400596E+01, 0.5659967E+02, 0.5903738E+05, 0.5344639E+04, 0.2944460E+02, 0.1109967E+03
hwm, 0.3607526E+03, 0.3619688E+04, 0.1810276E+03, 0.1652472E+04, 0.1530611E+04, 0.3364110E+04, 0.2791706E+03, 0.4640607E+02, 0.3255767E+03, 0.4119536E+06, 0.2483078E+05, 0.2054599E+03, 0.2835113E+03
lwm, 0.2258240E+03, 0.2320294E+04, 0.8911827E+02, 0.1073873E+04, 0.8268155E+03, 0.1989806E+04, 0.1834404E+03, 0.2531747E+02, 0.2087579E+03, 0.1608663E+06, 0.1342204E+05, 0.8023130E+02, 0.1740166E+03
hom, 0.6330613E+02, 0.6342515E+03, 0.6362244E+02, 0.5894614E+03, 0.9535707E+02, 0.7484410E+03, 0.5167593E+02, 0.2868555E+01, 0.5454449E+02, 0.7201005E+05, 0.1515271E+04, 0.3591467E+02, 0.4931353E+02
alf, 0.1546096E+02, 0.1597399E+03, 0.2247552E+01, 0.4121391E+02, 0.5894903E+01, 0.4935636E+02, 0.5329252E+01, 0.1837916E+00, 0.5513043E+01, 0.4447025E+04, 0.9429659E+02, 0.2217931E+01, 0.1188657E+02
hyw, 0.7880586E+02, 0.8149568E+03, 0.1258249E+02, 0.1009678E+03, 0.3399161E+02, 0.1475419E+03, 0.3076625E+02, 0.1137628E+01, 0.3190388E+02, 0.2322464E+05, 0.5499056E+03, 0.1158318E+02, 0.6038764E+02
hyo, 0.1165316E+03, 0.1211589E+04, 0.1019901E+02, 0.1432194E+03, 0.3059680E+02, 0.1840152E+03, 0.2489313E+02, 0.1048063E+01, 0.2594118E+02, 0.3794574E+05, 0.4950026E+03, 0.1892524E+02, 0.8912433E+02
pas, 0.1141575E+03, 0.1212846E+04, 0.1821871E+02, 0.2468531E+03, 0.9003045E+02, 0.3551023E+03, 0.5147969E+02, 0.2930164E+01, 0.5440985E+02, 0.4444717E+04, 0.1447910E+04, 0.2216781E+01, 0.9500500E+02
trp, 0.4434379E+00, 0.4732273E+01, 0.3404474E+01, 0.3406432E+01, 0.2325905E+01, 0.9136809E+01, 0.1640531E+01, 0.7481439E-01, 0.1715345E+01, 0.1620777E+03, 0.3774097E+02, 0.8083542E-01, 0.2480443E+00
urs, 0.8217686E+00, 0.9006719E+01, 0.3053243E+01, 0.4265641E+02, 0.6305278E+01, 0.5201494E+02, 0.2695222E+02, 0.2076049E+00, 0.2715982E+02, 0.2672791E+03, 0.1022702E+03, 0.1333041E+00, 0.4595534E+00
nhi, 0.1751452E+03, 0.1854333E+04, 0.7752813E+02, 0.7475638E+03, 0.6821343E+03, 0.1507227E+04, 0.1197117E+03, 0.2098870E+02, 0.1407004E+03, 0.1968583E+06, 0.1105448E+05, 0.9818213E+02, 0.1304369E+03
nlo, 0.1458936E+03, 0.1575033E+04, 0.5276917E+02, 0.6405495E+03, 0.5013562E+03, 0.1194675E+04, 0.9610587E+02, 0.1556390E+02, 0.1116698E+03, 0.1033622E+06, 0.8137868E+04, 0.5155139E+02, 0.1077053E+03
nho, 0.3323331E+02, 0.3445979E+03, 0.3099906E+02, 0.2956642E+03, 0.4430571E+02, 0.3709689E+03, 0.2965058E+02, 0.1482423E+01, 0.3113301E+02, 0.3631288E+05, 0.6959079E+03, 0.1811087E+02, 0.2448599E+02
nal, 0.8457923E+01, 0.9361127E+02, 0.1337079E+01, 0.2069533E+02, 0.2816083E+01, 0.2484849E+02, 0.2707746E+01, 0.1023501E+00, 0.2810096E+01, 0.2816515E+04, 0.4409826E+02, 0.1404723E+01, 0.6228984E+01
nhy, 0.5353267E+02, 0.5890170E+03, 0.6928467E+01, 0.5421267E+02, 0.1857913E+02, 0.7972027E+02, 0.1608529E+02, 0.6162960E+00, 0.1670159E+02, 0.1827526E+05, 0.3007513E+03, 0.9114696E+01, 0.3926140E+02
npa, 0.6272665E+02, 0.7023898E+03, 0.9387232E+01, 0.1281548E+03, 0.5082956E+02, 0.1883717E+03, 0.2581680E+02, 0.1573241E+01, 0.2739004E+02, 0.3075889E+04, 0.8212344E+03, 0.1534085E+01, 0.4924517E+02
rpd, 0.2055681E+03, 0.2195686E+04, 0.3943738E+02, 0.1839619E+03, 0.5132275E+03, 0.7366266E+03, 0.4708102E+02, 0.1382069E+02, 0.6090171E+02, 0.2377015E+05, 0.8524889E+04, 0.1185524E+02, 0.1681800E+03
npd, 0.2579224E+04, 0.2735827E+05, 0.4810769E+03, 0.2348473E+04, 0.6428069E+04, 0.9257617E+04, 0.5862665E+03, 0.1731412E+03, 0.7594075E+03, 0.3109698E+06, 0.1067527E+06, 0.1550947E+03, 0.2197170E+04
cpd, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
rcn, 0.3445280E+03, 0.3705713E+04, 0.1080861E+03, 0.1399805E+04, 0.2046031E+04, 0.3553922E+04, 0.9043142E+03, 0.5890057E+02, 0.9632142E+03, 0.8489493E+06, 0.3308726E+05, 0.4234093E+03, 0.1984478E+03
ccn, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
rex, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
nex, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
