specifier,FLOW,HEAT,NH3X,NO23,ORGN,TOTN,PO4X,ORGP,TOTP,TSSX,ORGC,TSED,acre
for, 0.1230150E+05, 0.1272738E+06, 0.1790642E+04, 0.1517005E+05, 0.1548244E+05, 0.3244313E+05, 0.6617769E+03, 0.2300799E+03, 0.8918569E+03, 0.6977168E+07, 0.2466234E+06, 0.3488584E+04, 0.1098865E+05
hvf, 0.1356665E+03, 0.1430279E+04, 0.1358503E+03, 0.2483731E+04, 0.6718708E+03, 0.3291453E+04, 0.6773077E+02, 0.1429610E+02, 0.8202687E+02, 0.6296909E+06, 0.1072499E+05, 0.3148456E+03, 0.1109967E+03
hwm, 0.3675009E+03, 0.3679937E+04, 0.3708895E+03, 0.3466399E+04, 0.3173107E+04, 0.7010395E+04, 0.4231432E+03, 0.7213258E+02, 0.4952758E+03, 0.4205791E+07, 0.5094984E+05, 0.2102896E+04, 0.2835113E+03
lwm, 0.2276757E+03, 0.2320670E+04, 0.1833241E+03, 0.2210942E+04, 0.1697701E+04, 0.4091968E+04, 0.2624995E+03, 0.3872247E+02, 0.3012219E+03, 0.1574901E+07, 0.2716197E+05, 0.7874504E+03, 0.1740166E+03
hom, 0.6400507E+02, 0.6400073E+03, 0.1326761E+03, 0.1247608E+04, 0.1921616E+03, 0.1572446E+04, 0.8297520E+02, 0.4562654E+01, 0.8753787E+02, 0.7328774E+06, 0.3019967E+04, 0.3664388E+03, 0.4931353E+02
alf, 0.1575052E+02, 0.1614485E+03, 0.4916150E+01, 0.8538616E+02, 0.1176281E+02, 0.1020651E+03, 0.7826451E+01, 0.2940014E+00, 0.8120453E+01, 0.4594460E+05, 0.1844932E+03, 0.2297231E+02, 0.1188657E+02
hyw, 0.8001586E+02, 0.8202296E+03, 0.2663814E+02, 0.2128681E+03, 0.7099183E+02, 0.3104980E+03, 0.4242688E+02, 0.1761035E+01, 0.4418792E+02, 0.2381262E+06, 0.1132201E+04, 0.1190630E+03, 0.6038764E+02
hyo, 0.1180930E+03, 0.1210553E+04, 0.2163550E+02, 0.2974363E+03, 0.6380136E+02, 0.3828732E+03, 0.3669404E+02, 0.1615055E+01, 0.3830909E+02, 0.3827023E+06, 0.1017983E+04, 0.1913512E+03, 0.8912433E+02
pas, 0.1163896E+03, 0.1232588E+04, 0.3800810E+02, 0.5161326E+03, 0.1923256E+03, 0.7464662E+03, 0.7701022E+02, 0.4588625E+01, 0.8159885E+02, 0.5317397E+05, 0.3065834E+04, 0.2658699E+02, 0.9500500E+02
trp, 0.4417862E+00, 0.4672125E+01, 0.6988720E+01, 0.6991054E+01, 0.4730108E+01, 0.1870988E+02, 0.2344999E+01, 0.1127861E+00, 0.2457785E+01, 0.1700132E+04, 0.7550456E+02, 0.8500659E+00, 0.2480443E+00
